SoilReadingID,SensorID,FieldID,FarmID,RegionID,DateTimeID,MoisturePct,TemperatureC,EC_dS_m,NPKIndex,BatteryPct,CreatedDate
26,99,130,9,2,2277,30.46,13.34,1.14,69.01,41.62,2025-07-05
27,157,273,19,5,2756,23.41,19.89,0.49,78.44,59.78,2025-07-24
28,132,257,18,5,2638,23.59,29.06,1.264,55.84,60.79,2025-09-30
29,174,160,11,2,784,30.06,22.09,0.733,45.47,51.78,2025-07-30
30,159,272,19,5,581,27.49,17.05,0.037,62.93,71.92,2025-07-04
31,192,30,2,4,585,26.63,25.04,0.723,49.24,38.81,2025-09-26
32,94,151,10,1,1561,26.27,15.3,0.66,75.73,98.46,2025-08-12
33,261,268,18,5,2611,20.95,15.72,1.234,69.0,54.6,2025-08-29
34,51,181,12,3,1591,24.99,21.69,2.048,45.2,98.17,2025-09-03
35,272,385,26,3,2060,25.91,29.05,0.361,98.59,92.5,2025-09-21
36,278,325,22,1,1620,30.62,27.01,1.225,26.93,90.45,2025-09-09
37,263,227,16,5,1916,16.22,29.61,0.718,36.13,50.9,2025-08-18
38,225,283,19,5,1527,24.46,18.35,0.265,39.97,56.6,2025-07-05
39,273,60,4,4,2207,15.71,24.77,0.564,50.64,61.4,2025-10-25
40,283,223,15,4,242,21.8,29.52,0.562,72.15,50.03,2025-10-10
41,120,45,3,2,1409,23.37,10.97,1.731,78.13,57.73,2025-09-15
42,292,77,5,1,1398,13.44,18.01,0.064,36.64,33.65,2025-07-08
43,245,298,20,1,748,37.94,18.73,1.115,88.08,68.62,2025-07-09
44,248,34,3,2,2832,27.24,24.71,0.845,15.94,58.22,2025-07-27
45,285,341,23,4,938,29.87,25.08,0.676,78.95,41.56,2025-07-20
46,267,109,7,1,888,37.76,23.29,0.761,93.58,67.16,2025-09-14
47,131,13,1,4,1039,30.2,18.52,2.033,53.07,71.66,2025-08-08
48,154,415,28,2,609,24.11,25.15,0.994,69.08,93.75,2025-09-28
49,291,323,22,1,2321,26.45,21.74,1.619,41.18,49.91,2025-08-19
50,74,282,19,5,1686,14.3,13.95,1.881,66.76,88.48,2025-09-07
51,22,204,13,5,907,22.13,13.29,0.956,38.12,67.82,2025-08-08
52,139,396,27,1,512,18.81,25.23,1.396,47.85,63.5,2025-07-21
53,259,128,9,2,1179,12.42,22.79,1.439,62.27,36.96,2025-07-05
54,274,48,4,4,383,23.81,23.39,1.052,50.21,69.21,2025-09-13
55,26,88,6,1,905,35.24,17.81,0.449,28.08,30.78,2025-07-23
56,103,275,19,5,1013,21.9,26.95,1.859,50.24,84.45,2025-07-24
57,61,71,5,1,1639,32.22,22.57,0.959,57.3,74.39,2025-10-13
58,281,210,14,4,74,31.51,29.65,0.641,39.52,98.64,2025-10-10
59,109,380,26,3,96,29.92,26.06,1.397,90.8,46.26,2025-10-22
60,181,70,5,1,2740,28.49,27.52,0.503,59.24,86.78,2025-08-28
61,125,84,6,1,950,11.68,15.29,0.779,27.71,79.14,2025-09-06
62,130,187,12,3,1866,22.83,19.73,0.791,56.63,35.59,2025-07-06
63,205,4,1,4,158,21.7,35.1,1.778,67.15,57.36,2025-09-07
64,183,183,12,3,2216,10.03,21.99,0.18,60.97,34.47,2025-07-24
65,89,125,8,4,1346,22.13,19.85,1.4,7.65,87.14,2025-10-25
66,70,326,22,1,1650,29.63,21.03,1.159,67.32,96.55,2025-07-19
67,132,257,18,5,1242,27.46,27.6,2.048,75.94,48.73,2025-10-07
68,46,180,12,3,294,22.14,23.21,1.662,27.67,80.94,2025-09-29
69,268,194,13,5,1303,34.19,19.4,1.817,67.56,62.7,2025-08-02
70,246,368,26,3,1477,8.68,33.03,1.375,52.61,38.45,2025-08-02
71,183,183,12,3,1854,18.57,25.18,0.51,32.85,49.45,2025-09-04
72,221,278,19,5,1484,33.24,15.6,1.206,67.39,79.99,2025-07-02
73,230,129,9,2,265,18.8,11.5,0.811,49.86,70.58,2025-08-01
74,133,429,29,1,985,23.62,23.2,0.91,85.73,41.47,2025-08-11
75,39,40,3,2,312,24.0,27.43,0.991,80.79,67.9,2025-07-14
76,287,350,24,4,1165,28.68,19.34,0.368,64.92,70.81,2025-10-26
77,137,388,27,1,718,24.19,23.31,2.089,66.82,45.94,2025-08-16
78,147,135,9,2,180,21.7,12.53,0.72,48.79,85.54,2025-09-22
79,246,368,26,3,1286,35.89,13.82,0.915,62.93,49.01,2025-09-12
80,142,219,15,4,405,26.92,25.26,1.359,59.03,48.69,2025-07-01
81,132,257,18,5,1742,25.27,21.49,1.083,76.32,50.27,2025-08-12
82,26,88,6,1,1713,27.43,26.65,1.833,40.0,46.73,2025-08-08
83,299,153,10,1,513,29.89,15.45,2.516,100.0,91.0,2025-08-05
84,185,200,13,5,808,24.54,21.68,1.358,53.45,74.35,2025-10-09
85,106,241,17,3,878,30.3,16.63,2.655,53.77,33.55,2025-07-03
86,93,62,4,4,513,14.96,21.66,1.49,42.12,50.75,2025-09-02
87,147,135,9,2,2556,32.34,19.38,1.935,59.12,81.58,2025-07-09
88,284,214,15,4,2315,27.19,20.1,0.763,52.87,50.35,2025-09-15
89,98,419,29,1,2866,25.33,17.3,1.33,55.95,93.33,2025-07-29
90,229,438,30,2,468,38.98,14.87,1.197,62.57,47.66,2025-08-21
91,237,158,10,1,891,31.73,13.6,2.121,48.41,43.35,2025-08-30
92,134,103,7,1,1603,19.22,14.89,2.021,19.83,64.75,2025-08-05
93,219,164,11,2,325,12.17,23.61,0.109,40.58,39.78,2025-10-24
94,73,372,26,3,929,16.31,17.16,1.218,61.81,91.15,2025-09-19
95,213,404,28,2,2166,26.54,32.74,1.003,35.89,78.54,2025-10-12
96,183,183,12,3,1835,26.93,25.54,1.959,53.56,41.49,2025-08-02
97,22,204,13,5,2630,25.18,20.4,1.596,50.71,67.81,2025-07-14
98,184,398,28,2,1733,22.7,21.61,0.581,57.2,48.14,2025-10-10
99,267,109,7,1,1629,34.25,13.27,1.042,74.7,87.16,2025-09-10
100,109,380,26,3,2109,22.0,39.75,0.843,57.96,48.17,2025-08-21
101,144,433,30,2,408,22.31,12.7,1.946,43.53,62.09,2025-09-09
102,98,419,29,1,268,17.32,8.5,1.007,67.36,98.88,2025-07-14
103,113,359,25,2,2597,23.75,25.63,1.106,66.71,91.28,2025-10-20
104,11,105,7,1,2256,19.06,16.43,1.097,79.51,62.99,2025-10-24
105,123,185,12,3,2036,15.11,9.03,0.118,59.36,64.25,2025-10-17
106,106,241,17,3,1421,23.34,27.92,1.621,44.29,95.72,2025-10-23
107,172,51,4,4,1509,23.06,24.83,1.444,82.44,88.05,2025-09-17
108,148,131,9,2,2278,31.55,17.01,1.491,61.02,85.5,2025-09-16
109,95,55,4,4,1283,37.84,15.75,0.17,66.74,34.98,2025-10-08
110,172,51,4,4,1953,22.89,30.39,1.536,38.35,82.9,2025-10-24
111,265,391,27,1,2700,16.84,27.14,1.053,39.42,74.23,2025-07-09
112,244,369,26,3,2642,25.81,24.13,1.245,76.33,59.37,2025-08-30
113,18,213,15,4,2768,20.7,20.3,1.569,53.75,69.46,2025-10-01
114,154,415,28,2,1943,17.89,17.44,1.532,28.88,34.41,2025-07-22
115,186,206,14,4,963,26.48,36.9,0.466,29.56,82.52,2025-07-31
116,47,198,13,5,820,24.51,19.3,0.089,29.5,33.92,2025-08-12
117,205,4,1,4,505,17.15,27.14,1.569,42.16,53.74,2025-07-16
118,273,60,4,4,363,24.02,30.54,1.352,62.85,33.58,2025-08-16
119,262,1,1,4,2373,23.33,29.4,1.227,90.95,57.26,2025-08-21
120,32,199,13,5,337,30.15,23.68,1.074,28.47,74.74,2025-09-13
121,236,361,25,2,382,22.42,26.55,1.333,64.35,69.03,2025-09-12
122,10,424,29,1,1513,25.66,23.21,1.611,74.62,44.61,2025-10-22
123,69,218,15,4,2124,9.87,18.26,1.259,67.45,47.0,2025-09-20
124,282,309,21,1,60,17.81,22.72,1.105,82.73,90.83,2025-10-09
125,249,306,21,1,1854,22.25,33.08,0.082,38.89,67.52,2025-10-28
126,101,365,25,2,1137,25.92,19.8,1.685,100.0,31.39,2025-09-15
127,5,202,13,5,1467,38.04,23.17,2.469,17.45,56.01,2025-07-27
128,258,207,14,4,1622,15.1,27.04,1.146,33.92,61.34,2025-08-26
129,12,251,17,3,248,17.4,23.4,1.594,34.24,39.65,2025-07-14
130,242,354,24,4,2391,9.9,26.57,0.663,38.15,75.07,2025-09-08
131,29,405,28,2,225,16.23,22.53,1.188,35.77,41.21,2025-08-18
132,17,166,11,2,1096,23.48,22.68,1.077,65.74,67.64,2025-10-22
133,192,30,2,4,507,33.12,33.78,1.083,56.08,42.38,2025-08-04
134,54,244,17,3,2509,39.65,31.75,0.38,39.1,89.24,2025-08-26
135,3,319,22,1,2505,21.33,17.64,1.896,39.46,54.92,2025-10-02
136,110,240,17,3,1925,25.47,23.73,0.5,63.42,77.05,2025-07-12
137,292,77,5,1,2676,14.78,24.55,1.106,79.68,83.76,2025-07-28
138,1,190,13,5,8,21.25,19.9,0.905,57.63,47.44,2025-07-27
139,237,158,10,1,1299,18.22,21.71,0.459,53.33,98.18,2025-07-25
140,32,199,13,5,2474,25.57,24.11,1.145,84.23,97.94,2025-07-14
141,106,241,17,3,1068,29.78,18.95,0.945,72.59,95.0,2025-08-20
142,141,314,21,1,462,31.83,20.67,0.004,26.5,87.54,2025-07-31
143,232,79,5,1,728,27.81,16.68,1.064,38.54,55.23,2025-10-28
144,162,78,5,1,107,31.77,24.27,0.174,42.24,96.46,2025-10-20
145,111,89,6,1,2808,34.48,22.23,0.826,36.27,77.18,2025-07-09
146,181,70,5,1,1828,22.76,28.22,0.691,63.07,86.12,2025-08-01
147,197,358,25,2,1720,22.63,28.16,0.535,80.2,39.6,2025-07-08
148,131,13,1,4,2084,25.39,24.36,0.085,78.1,71.85,2025-10-09
149,70,326,22,1,956,20.05,25.85,2.011,49.21,77.4,2025-07-08
150,27,442,30,2,1765,37.88,23.52,1.322,62.9,94.42,2025-08-16
151,102,17,2,4,818,23.02,16.58,0.272,41.43,87.07,2025-09-17
152,177,23,2,4,413,14.57,26.21,0.717,28.49,71.76,2025-07-22
153,186,206,14,4,2538,16.5,21.28,0.572,64.78,58.71,2025-08-09
154,275,290,19,5,87,21.22,30.11,0.815,52.95,41.62,2025-08-31
155,97,56,4,4,2002,20.85,21.98,1.304,37.96,88.03,2025-07-24
156,6,363,25,2,1914,28.64,17.87,1.742,57.78,69.56,2025-07-07
157,76,337,23,4,624,25.27,18.34,1.143,31.39,85.03,2025-08-20
158,154,415,28,2,1776,19.0,25.21,0.486,42.84,33.57,2025-10-05
159,174,160,11,2,1926,24.97,25.85,0.762,77.01,38.6,2025-07-16
160,192,30,2,4,297,17.26,23.1,0.47,62.3,58.15,2025-08-30
161,291,323,22,1,1989,16.71,10.2,1.302,39.58,58.25,2025-10-04
162,113,359,25,2,2101,21.34,26.52,0.828,58.53,44.18,2025-07-11
163,225,283,19,5,1236,25.71,27.97,0.349,42.99,97.12,2025-07-10
164,14,144,10,1,2761,15.43,11.7,0.694,74.15,31.04,2025-08-15
165,22,204,13,5,1353,20.36,18.75,1.44,35.44,80.27,2025-07-05
166,180,100,7,1,1806,30.4,26.86,1.03,50.95,55.64,2025-07-25
167,245,298,20,1,2493,25.24,34.95,0.711,60.43,35.93,2025-10-13
168,282,309,21,1,1201,34.23,35.19,0.736,50.65,40.71,2025-07-24
169,127,437,30,2,1714,33.19,25.49,1.152,49.26,52.76,2025-09-25
170,153,266,18,5,2818,17.39,19.9,1.462,67.79,79.05,2025-08-26
171,101,365,25,2,37,41.61,21.66,1.005,40.37,64.08,2025-10-02
172,240,296,20,1,2206,35.75,10.53,0.759,77.88,75.28,2025-08-26
173,125,84,6,1,2668,19.61,12.97,0.255,100.0,36.22,2025-10-04
174,101,365,25,2,1602,12.43,6.04,1.05,70.69,81.72,2025-08-06
175,276,121,8,4,1859,35.13,15.72,1.207,33.96,38.4,2025-08-15
176,76,337,23,4,201,30.93,21.99,1.062,67.97,58.3,2025-08-17
177,103,275,19,5,1477,30.49,18.6,1.102,67.22,91.94,2025-09-16
178,35,211,14,4,1783,25.82,13.14,0.887,53.82,68.05,2025-09-29
179,192,30,2,4,316,25.19,26.85,0.735,72.68,83.81,2025-08-16
180,20,293,20,1,1588,11.43,20.2,0.092,53.69,68.71,2025-07-01
181,113,359,25,2,461,34.03,19.57,1.729,56.01,95.78,2025-10-21
182,257,178,12,3,428,13.67,25.79,1.08,81.73,92.75,2025-10-28
183,140,107,7,1,2706,14.71,14.44,1.802,56.29,67.16,2025-07-03
184,140,107,7,1,2253,23.46,19.36,0.009,52.81,61.8,2025-08-23
185,73,372,26,3,2274,21.55,28.43,1.81,65.37,91.04,2025-08-23
186,168,26,2,4,1768,20.33,23.93,0.961,71.55,41.94,2025-07-13
187,163,9,1,4,29,25.04,15.22,1.076,96.75,79.71,2025-07-24
188,287,350,24,4,2398,19.88,19.68,1.064,84.6,34.31,2025-07-11
189,251,123,8,4,653,23.81,26.27,0.577,49.7,89.59,2025-09-19
190,267,109,7,1,2732,19.34,24.43,0.787,16.3,34.72,2025-07-20
191,48,75,5,1,1672,13.09,27.73,1.361,53.61,36.31,2025-09-18
192,259,128,9,2,881,26.29,24.36,2.711,24.19,47.07,2025-09-09
193,60,61,4,4,1970,25.13,20.88,1.593,29.53,44.14,2025-10-21
194,294,395,27,1,2525,14.5,18.05,1.472,69.59,64.72,2025-10-22
195,48,75,5,1,2075,29.41,16.21,1.678,46.84,76.49,2025-08-08
196,157,273,19,5,336,30.85,28.33,0.776,63.82,82.61,2025-10-23
197,121,50,4,4,504,29.82,20.89,1.211,49.63,99.82,2025-09-12
198,188,96,6,1,2499,26.5,17.8,0.216,30.65,54.5,2025-07-10
199,33,205,14,4,1607,24.74,23.73,1.522,65.2,82.07,2025-08-21
200,233,46,3,2,1140,8.52,19.29,0.633,76.6,97.96,2025-09-29
201,296,317,22,1,2611,12.24,30.68,1.309,58.15,40.55,2025-09-21
202,186,206,14,4,233,33.92,21.98,1.077,59.87,37.89,2025-10-10
203,296,317,22,1,2252,8.86,16.55,0.907,43.94,44.18,2025-07-20
204,208,31,3,2,79,29.45,28.09,0.283,61.7,70.4,2025-08-06
205,159,272,19,5,2255,24.6,27.18,1.298,61.41,72.69,2025-09-03
206,69,218,15,4,1549,30.14,26.54,0.259,38.62,84.68,2025-10-13
207,92,176,12,3,1743,27.29,26.68,1.496,28.08,31.55,2025-10-27
208,146,53,4,4,1157,22.94,19.69,0.963,58.62,72.04,2025-07-02
209,53,431,30,2,1499,18.17,26.97,1.153,49.8,36.73,2025-10-14
210,284,214,15,4,1843,23.64,26.06,1.134,57.04,68.71,2025-07-10
211,167,392,27,1,2283,31.88,29.4,1.778,55.95,34.82,2025-07-02
212,159,272,19,5,2463,28.47,23.69,0.987,44.66,44.33,2025-08-05
213,194,308,21,1,222,14.91,12.8,1.167,78.66,68.27,2025-07-31
214,158,215,15,4,1797,15.18,19.56,1.307,46.7,56.67,2025-07-30
215,105,233,16,5,2037,33.9,22.75,1.156,86.39,93.7,2025-10-14
216,14,144,10,1,125,25.68,17.29,0.374,43.08,33.58,2025-09-08
217,95,55,4,4,1508,20.19,20.79,1.938,99.48,33.81,2025-07-06
218,114,203,13,5,2818,19.69,14.88,1.186,67.46,35.99,2025-10-14
219,135,256,17,3,437,22.0,12.93,1.415,66.81,55.16,2025-08-19
220,166,171,11,2,865,21.3,29.19,0.376,34.49,47.66,2025-07-14
221,235,418,29,1,149,25.46,21.48,0.863,60.47,79.05,2025-09-22
222,42,230,16,5,586,28.97,21.67,1.083,80.36,68.21,2025-08-15
223,132,257,18,5,1252,31.8,14.56,0.081,69.83,60.54,2025-08-09
224,187,267,18,5,662,29.74,26.38,1.404,47.87,86.16,2025-07-07
225,265,391,27,1,881,31.43,24.7,0.517,45.75,89.23,2025-09-30
226,21,411,28,2,2552,26.91,17.13,0.703,55.93,82.58,2025-08-19
227,202,383,26,3,2754,19.35,19.88,0.996,60.59,58.87,2025-08-22
228,80,137,9,2,2832,15.28,21.59,1.66,23.93,77.18,2025-09-15
229,158,215,15,4,1151,32.84,24.27,1.174,59.44,96.61,2025-07-09
230,111,89,6,1,577,19.46,23.29,0.527,42.68,80.94,2025-08-07
231,268,194,13,5,2690,34.55,26.84,0.82,65.11,71.21,2025-10-08
232,234,116,8,4,366,18.25,20.15,1.502,86.06,59.65,2025-09-26
233,256,195,13,5,1843,24.16,17.11,1.597,60.04,87.38,2025-08-28
234,59,217,15,4,1855,18.81,28.61,0.735,49.99,78.35,2025-08-02
235,68,57,4,4,1597,21.88,26.02,1.168,68.5,51.06,2025-08-29
236,59,217,15,4,1811,23.16,24.49,0.58,43.91,77.25,2025-09-15
237,8,384,26,3,893,31.9,30.1,1.998,61.76,57.28,2025-10-06
238,54,244,17,3,1704,25.51,4.0,0.361,0.67,89.9,2025-08-31
239,156,106,7,1,1391,17.39,27.86,2.243,54.25,67.32,2025-08-31
240,128,5,1,4,1802,21.7,12.09,0.963,71.95,67.4,2025-10-17
241,190,258,18,5,481,19.42,22.12,0.767,67.9,72.62,2025-10-08
242,33,205,14,4,2877,25.83,23.08,2.271,40.11,62.71,2025-10-26
243,82,197,13,5,2295,20.67,23.62,1.222,58.8,79.33,2025-08-20
244,187,267,18,5,883,35.22,31.62,0.88,38.65,68.36,2025-09-22
245,66,15,1,4,1437,27.4,18.81,2.227,58.4,71.06,2025-08-05
246,100,42,3,2,1242,37.72,22.64,0.537,53.35,85.98,2025-09-15
247,211,95,6,1,1348,38.66,13.82,1.483,26.97,79.87,2025-10-20
248,197,358,25,2,92,32.47,23.76,1.637,22.05,82.44,2025-08-28
249,289,345,23,4,207,15.89,14.8,1.117,41.3,97.01,2025-07-20
250,127,437,30,2,756,19.54,12.35,0.327,61.6,73.18,2025-09-09
251,47,198,13,5,2542,16.09,21.21,1.65,31.93,97.86,2025-10-07
252,284,214,15,4,807,18.64,17.62,0.015,2.52,91.94,2025-09-01
253,59,217,15,4,475,28.13,23.96,1.567,57.75,30.36,2025-07-25
254,46,180,12,3,255,25.16,16.85,1.185,45.0,65.85,2025-08-20
255,267,109,7,1,1766,32.66,19.73,1.737,84.65,72.23,2025-09-28
256,220,59,4,4,2217,33.04,27.77,1.984,57.84,97.97,2025-10-05
257,218,14,1,4,2724,18.85,8.52,1.836,64.25,96.74,2025-10-18
258,277,247,17,3,2129,17.91,13.49,1.413,61.36,47.13,2025-09-11
259,57,324,22,1,1300,5.0,19.6,0.631,76.16,75.08,2025-08-23
260,156,106,7,1,1319,10.09,22.81,1.276,88.31,51.96,2025-09-24
261,219,164,11,2,955,21.33,21.73,0.828,50.68,59.42,2025-09-06
262,86,367,26,3,1869,30.94,16.62,1.031,78.61,93.66,2025-07-05
263,268,194,13,5,1178,27.97,26.31,1.059,92.28,40.97,2025-07-08
264,135,256,17,3,2877,18.72,27.64,0.803,21.53,39.45,2025-08-21
265,186,206,14,4,1960,31.95,15.13,0.776,61.57,75.61,2025-10-24
266,105,233,16,5,1056,28.98,15.82,1.405,62.56,83.34,2025-10-27
267,48,75,5,1,1688,28.39,25.41,1.349,57.34,81.62,2025-08-27
268,247,236,16,5,2511,31.7,17.84,0.711,47.1,57.44,2025-09-10
269,225,283,19,5,12,19.31,28.68,0.98,39.72,46.65,2025-08-26
270,172,51,4,4,2101,25.81,32.96,2.487,88.43,81.31,2025-08-02
271,227,394,27,1,2633,26.15,24.85,1.445,28.35,95.76,2025-07-14
272,140,107,7,1,227,18.32,26.8,2.092,81.56,41.19,2025-08-27
273,187,267,18,5,2824,23.62,13.84,0.052,49.5,85.07,2025-07-20
274,23,102,7,1,997,26.28,15.94,2.162,58.42,37.47,2025-07-30
275,107,122,8,4,786,28.79,12.6,1.348,63.91,34.09,2025-08-24
276,221,278,19,5,122,18.77,23.6,0.999,50.66,63.07,2025-09-15
277,61,71,5,1,2640,18.43,14.95,0.393,32.33,30.32,2025-09-29
278,242,354,24,4,2217,18.61,29.08,0.969,28.76,87.79,2025-10-03
279,264,397,28,2,1057,28.37,22.89,0.638,47.97,97.4,2025-08-16
280,272,385,26,3,340,14.28,28.65,1.703,44.62,80.7,2025-07-04
281,38,370,26,3,263,9.63,11.35,1.006,73.71,89.38,2025-07-11
282,219,164,11,2,2633,22.41,23.81,0.532,32.63,42.12,2025-07-29
283,293,346,23,4,218,21.01,37.87,1.37,11.28,45.84,2025-07-28
284,280,403,28,2,1352,23.69,27.39,1.412,11.94,45.82,2025-07-31
285,173,86,6,1,2320,24.94,31.17,2.307,66.71,54.96,2025-09-23
286,63,196,13,5,1837,30.25,8.63,1.028,70.21,93.35,2025-08-15
287,48,75,5,1,1268,29.73,18.68,1.255,54.72,67.59,2025-08-06
288,131,13,1,4,1341,21.71,20.18,1.646,87.62,73.03,2025-09-01
289,196,406,28,2,2159,26.4,20.75,1.439,76.59,70.99,2025-10-13
290,166,171,11,2,2213,8.97,25.99,1.85,33.19,31.45,2025-07-25
291,285,341,23,4,1041,39.07,19.35,0.561,83.22,97.63,2025-07-30
292,215,37,3,2,1982,33.31,18.7,0.204,60.89,91.25,2025-09-30
293,234,116,8,4,982,29.65,19.92,0.527,44.58,56.97,2025-10-06
294,201,87,6,1,1693,26.35,19.71,0.163,69.09,58.97,2025-09-05
295,228,10,1,4,1214,16.77,22.06,0.948,77.22,91.68,2025-07-14
296,24,408,28,2,423,12.0,11.54,0.584,63.09,89.49,2025-09-02
297,24,408,28,2,1174,27.06,20.1,1.776,54.23,69.36,2025-07-10
298,94,151,10,1,459,19.11,6.43,0.753,36.63,37.35,2025-10-19
299,24,408,28,2,2585,27.54,14.09,1.388,33.29,62.43,2025-10-03
300,113,359,25,2,2117,29.43,26.11,0.551,9.24,74.24,2025-09-12
301,27,442,30,2,2706,19.97,15.81,1.173,52.49,47.23,2025-08-06
302,293,346,23,4,1738,33.8,19.32,0.559,42.99,53.59,2025-08-10
303,165,286,19,5,1578,25.26,19.34,2.848,74.46,42.25,2025-08-27
304,179,393,27,1,470,27.38,22.42,1.298,66.25,96.72,2025-08-28
305,29,405,28,2,2422,15.61,28.58,1.273,72.94,50.22,2025-07-08
306,262,1,1,4,2342,27.07,30.6,0.778,33.09,37.44,2025-09-24
307,264,397,28,2,2733,22.52,12.9,0.786,53.25,88.72,2025-10-12
308,30,285,19,5,2103,31.4,25.57,0.351,86.77,85.66,2025-08-28
309,2,295,20,1,1148,30.16,18.62,0.28,71.88,81.5,2025-07-23
310,13,159,10,1,1838,28.7,22.33,0.113,65.78,41.69,2025-09-19
311,243,127,9,2,132,28.92,17.01,0.916,58.03,57.1,2025-10-18
312,69,218,15,4,2691,21.89,25.39,0.861,71.78,66.51,2025-09-20
313,38,370,26,3,2060,24.98,19.19,1.245,55.82,31.73,2025-07-07
314,44,208,14,4,294,26.42,16.59,1.41,30.4,96.88,2025-09-23
315,206,113,8,4,194,17.24,22.31,0.995,64.1,62.32,2025-07-06
316,297,375,26,3,2270,21.8,17.8,1.002,27.93,56.14,2025-07-31
317,73,372,26,3,124,18.05,24.45,1.03,40.28,63.99,2025-08-22
318,234,116,8,4,1287,21.08,32.6,1.943,60.21,50.83,2025-08-02
319,126,12,1,4,1056,25.79,34.0,0.582,47.57,67.84,2025-10-03
320,14,144,10,1,1198,25.1,21.85,0.464,28.35,46.73,2025-08-27
321,264,397,28,2,469,23.38,14.13,0.853,67.71,58.29,2025-08-09
322,243,127,9,2,1160,27.06,7.78,0.931,42.43,47.86,2025-08-02
323,9,382,26,3,1312,12.25,29.61,2.312,62.78,58.21,2025-10-02
324,241,248,17,3,991,17.27,15.81,1.536,88.23,82.25,2025-10-08
325,59,217,15,4,1069,23.87,26.56,1.025,23.87,49.37,2025-07-07
326,136,145,10,1,1833,5.0,19.46,0.853,64.17,47.76,2025-07-20
327,26,88,6,1,482,29.66,30.33,2.079,37.93,64.71,2025-09-25
328,83,390,27,1,942,16.22,26.37,1.918,76.1,42.79,2025-07-05
329,186,206,14,4,1639,31.96,30.78,1.844,62.55,51.47,2025-08-13
330,146,53,4,4,1843,19.56,32.03,0.627,47.66,45.68,2025-08-04
331,170,402,28,2,1530,12.01,26.27,1.501,27.26,59.45,2025-08-26
332,113,359,25,2,1151,15.35,26.11,0.34,52.87,35.81,2025-07-20
333,182,355,25,2,199,26.23,20.37,0.604,44.72,97.16,2025-10-16
334,282,309,21,1,1144,23.08,23.53,0.852,84.45,96.95,2025-08-13
335,112,138,9,2,939,27.25,18.09,0.578,65.4,60.38,2025-08-19
336,29,405,28,2,2644,35.98,27.59,0.159,66.37,59.74,2025-08-30
337,105,233,16,5,2220,14.7,11.1,0.334,36.27,51.21,2025-07-02
338,51,181,12,3,2780,19.59,23.53,0.41,59.8,92.25,2025-09-14
339,41,387,27,1,2245,12.62,13.93,1.212,72.73,41.65,2025-10-14
340,37,58,4,4,1542,18.57,21.64,1.506,57.53,73.63,2025-09-19
341,206,113,8,4,129,24.01,23.32,1.162,45.63,64.16,2025-09-11
342,180,100,7,1,2277,20.42,13.45,1.138,79.98,94.8,2025-08-22
343,108,376,26,3,994,37.91,8.24,0.674,39.35,56.3,2025-10-24
344,78,291,20,1,172,15.99,22.1,1.753,47.4,62.97,2025-09-04
345,75,432,30,2,1179,17.98,19.4,1.479,43.23,39.31,2025-09-09
346,232,79,5,1,90,35.51,18.68,1.174,69.28,86.32,2025-07-08
347,237,158,10,1,35,37.35,18.65,0.841,85.38,30.66,2025-10-23
348,214,52,4,4,760,28.42,23.07,1.444,76.6,86.46,2025-07-18
349,23,102,7,1,1697,38.87,15.05,1.655,15.1,92.59,2025-10-15
