YieldRecordID,FieldID,FarmID,RegionID,CropID,SeasonID,DateTimeID,AreaHectares,YieldTonnes,YieldPerHectare,MoisturePct,Grade,CreatedDate
35,371,26,3,5,3,932,3.85,4.738,1.231,7.9,C,2025-07-18
36,243,17,3,6,1,2262,0.82,2.411,2.94,10.94,A,2025-10-28
37,193,13,5,8,2,662,8.8,2.522,0.287,14.79,A,2025-09-12
38,126,9,2,5,2,2844,2.38,7.254,3.048,12.71,A,2025-08-12
39,80,5,1,8,3,716,1.94,4.314,2.224,10.18,C,2025-09-16
40,97,6,1,3,2,991,6.56,12.132,1.849,8.52,B,2025-08-28
41,24,2,4,8,1,1454,8.34,6.969,0.836,6.32,A,2025-08-08
42,412,28,2,7,1,1658,9.19,9.791,1.065,9.72,A,2025-09-23
43,327,22,1,7,3,638,2.12,0.913,0.431,12.63,B,2025-07-12
44,90,6,1,8,1,541,7.37,13.324,1.808,12.53,A,2025-10-05
45,364,25,2,7,2,173,9.39,5.402,0.575,16.08,A,2025-10-22
46,139,9,2,2,2,2501,2.42,3.233,1.336,11.46,B,2025-07-11
47,442,30,2,3,1,89,11.7,3.584,0.306,7.66,A,2025-08-11
48,28,2,4,7,2,1093,0.74,11.518,15.565,12.12,B,2025-09-14
49,301,20,1,4,2,2021,7.1,1.967,0.277,12.68,C,2025-07-13
50,246,17,3,6,2,1118,8.24,5.535,0.672,10.55,B,2025-10-23
51,143,10,1,2,2,1365,7.47,6.918,0.926,9.01,A,2025-09-04
52,264,18,5,7,3,1616,4.61,3.824,0.83,11.58,B,2025-09-09
53,440,30,2,5,2,193,3.94,6.193,1.572,15.35,C,2025-10-21
54,336,23,4,2,1,2605,11.38,3.666,0.322,14.09,B,2025-10-01
55,169,11,2,8,3,1908,5.24,8.71,1.662,11.83,A,2025-08-18
56,284,19,5,5,2,1599,3.85,6.007,1.56,10.58,C,2025-08-19
57,249,17,3,1,1,2526,6.51,3.511,0.539,9.23,A,2025-10-17
58,224,15,4,1,2,1704,7.08,2.437,0.344,11.22,C,2025-09-18
59,134,9,2,7,3,220,2.8,4.893,1.748,13.57,A,2025-10-14
60,182,12,3,3,3,2210,11.31,3.086,0.273,15.28,B,2025-07-31
61,328,23,4,6,1,894,1.18,4.144,3.512,12.59,A,2025-07-05
62,179,12,3,4,3,1875,2.0,2.971,1.486,6.0,A,2025-07-27
63,228,16,5,8,3,1745,0.63,5.144,8.165,10.78,B,2025-10-22
64,188,13,5,3,3,1480,5.08,3.127,0.616,14.43,B,2025-09-02
65,2,1,4,5,1,1559,2.47,3.888,1.574,11.75,A,2025-10-07
66,132,9,2,6,2,268,9.11,5.522,0.606,10.37,A,2025-07-05
67,393,27,1,7,2,184,9.59,6.965,0.726,13.77,C,2025-08-23
68,216,15,4,6,2,2806,5.73,2.235,0.39,13.58,A,2025-10-19
69,69,5,1,6,1,950,8.84,1.115,0.126,14.73,B,2025-09-05
70,329,23,4,5,2,1977,6.74,1.636,0.243,11.88,A,2025-10-11
71,115,8,4,6,1,648,8.02,7.683,0.958,12.08,A,2025-10-05
72,161,11,2,2,3,895,9.92,2.412,0.243,13.44,B,2025-09-02
73,335,23,4,3,2,1478,9.7,1.884,0.194,9.22,B,2025-08-02
74,276,19,5,7,1,289,8.33,2.575,0.309,8.88,A,2025-10-05
75,410,28,2,6,1,595,1.88,5.897,3.137,12.07,B,2025-10-03
76,374,26,3,7,1,1218,7.57,1.309,0.173,11.55,A,2025-08-26
77,91,6,1,5,1,415,1.06,5.368,5.064,18.69,A,2025-09-20
78,423,29,1,2,2,927,4.06,5.453,1.343,10.96,A,2025-07-29
79,274,19,5,7,2,1173,7.56,5.585,0.739,9.21,B,2025-07-20
80,44,3,2,6,3,2385,6.26,12.597,2.012,11.65,B,2025-10-26
81,19,2,4,7,3,68,11.82,1.472,0.125,14.42,B,2025-07-10
82,49,4,4,8,2,259,6.05,4.37,0.722,10.22,C,2025-09-28
83,139,9,2,4,1,276,3.38,2.738,0.81,8.56,A,2025-09-28
84,304,20,1,5,1,2511,11.9,5.593,0.47,6.73,A,2025-10-11
85,111,8,4,1,1,44,4.79,5.497,1.148,12.58,A,2025-10-17
86,161,11,2,8,2,743,2.6,10.421,4.008,9.36,B,2025-09-24
87,429,29,1,3,2,230,2.9,4.334,1.494,7.61,B,2025-10-19
88,41,3,2,1,2,764,10.12,6.207,0.613,13.49,A,2025-07-05
89,265,18,5,3,3,2641,8.12,7.963,0.981,7.38,B,2025-08-26
90,418,29,1,8,3,2342,5.2,4.883,0.939,8.92,B,2025-09-07
91,386,26,3,2,1,804,10.04,7.429,0.74,9.71,B,2025-09-23
92,362,25,2,4,3,446,10.6,8.631,0.814,17.2,A,2025-07-11
93,381,26,3,3,2,126,7.26,2.664,0.367,15.81,A,2025-07-15
94,76,5,1,4,3,2798,2.98,1.796,0.603,11.21,B,2025-07-02
95,419,29,1,3,3,2215,5.2,4.691,0.902,10.62,B,2025-08-28
96,73,5,1,4,3,385,7.71,0.845,0.11,10.0,A,2025-10-15
97,20,2,4,8,3,1472,9.05,4.245,0.469,13.23,C,2025-08-02
98,225,15,4,7,2,415,4.57,3.449,0.755,11.14,B,2025-09-09
99,85,6,1,7,2,2284,1.64,10.167,6.199,12.5,A,2025-08-11
100,307,21,1,1,1,1665,10.09,4.093,0.406,12.25,B,2025-09-12
101,339,23,4,2,3,2330,11.1,10.895,0.982,11.13,B,2025-08-23
102,329,23,4,7,2,2597,5.59,6.642,1.188,9.72,C,2025-07-29
103,39,3,2,3,2,1932,6.1,4.143,0.679,12.77,B,2025-09-08
104,424,29,1,1,3,1891,11.85,4.944,0.417,11.78,B,2025-10-21
105,35,3,2,3,2,1421,11.84,6.886,0.582,16.35,A,2025-10-13
106,120,8,4,5,2,2137,6.91,3.96,0.573,12.25,A,2025-10-08
107,375,26,3,8,2,2421,6.79,2.232,0.329,16.69,A,2025-07-05
108,288,19,5,3,3,799,4.48,4.082,0.911,10.64,A,2025-10-13
109,245,17,3,5,1,2741,2.97,5.14,1.731,14.83,A,2025-09-11
110,119,8,4,7,2,2464,10.15,4.603,0.453,15.1,A,2025-09-16
111,357,25,2,2,2,2014,7.06,3.648,0.517,9.26,B,2025-09-17
112,133,9,2,8,3,954,7.47,2.287,0.306,13.77,B,2025-07-29
113,413,28,2,7,2,13,2.21,9.531,4.313,11.44,C,2025-08-30
114,142,10,1,8,3,1947,11.27,3.437,0.305,10.85,B,2025-10-27
115,186,12,3,8,1,1351,8.83,4.866,0.551,12.68,B,2025-08-18
116,322,22,1,5,2,909,9.31,4.251,0.457,8.62,B,2025-08-10
117,253,17,3,2,2,111,3.36,4.501,1.34,12.63,B,2025-08-04
118,91,6,1,4,3,1040,9.52,1.207,0.127,15.02,A,2025-07-05
119,119,8,4,3,3,1274,1.86,3.072,1.652,14.43,A,2025-07-23
120,149,10,1,4,1,2781,9.81,5.394,0.55,13.33,B,2025-07-17
121,363,25,2,2,3,860,5.33,2.056,0.386,6.13,A,2025-07-06
122,146,10,1,4,3,2604,11.18,15.067,1.348,11.45,B,2025-08-07
123,368,26,3,7,2,471,7.81,10.017,1.283,11.59,B,2025-08-21
124,133,9,2,7,2,2207,1.34,5.845,4.362,14.6,B,2025-07-05
125,331,23,4,6,2,1376,7.62,4.136,0.543,14.62,C,2025-10-03
126,424,29,1,8,3,433,8.98,7.812,0.87,13.91,C,2025-07-12
127,420,29,1,3,3,2645,6.03,1.373,0.228,13.45,C,2025-10-22
128,150,10,1,3,3,789,7.98,5.702,0.715,9.55,A,2025-07-06
129,420,29,1,1,1,1735,4.5,6.524,1.45,14.8,B,2025-08-26
130,7,1,4,3,3,432,5.24,2.757,0.526,12.95,A,2025-09-03
131,381,26,3,7,1,1336,4.66,3.649,0.783,12.89,A,2025-08-11
132,361,25,2,1,2,351,9.58,5.537,0.578,18.46,A,2025-09-09
133,242,17,3,4,1,1003,8.19,3.042,0.371,7.5,A,2025-09-01
134,315,22,1,8,3,1060,9.01,9.508,1.055,20.0,B,2025-09-04
135,66,4,4,8,2,2243,11.2,5.603,0.5,12.67,B,2025-08-12
136,168,11,2,2,1,1480,5.64,12.441,2.206,16.77,A,2025-10-01
137,101,7,1,5,1,876,1.77,2.927,1.654,8.78,C,2025-08-30
138,262,18,5,1,1,2141,8.38,5.987,0.714,12.41,A,2025-07-06
139,294,20,1,2,2,1830,1.26,3.419,2.713,13.68,A,2025-09-24
140,92,6,1,2,3,1993,4.38,8.531,1.948,13.17,C,2025-10-19
141,94,6,1,2,1,733,6.79,7.219,1.063,14.99,B,2025-08-24
142,253,17,3,2,1,317,5.07,4.836,0.954,11.62,A,2025-10-27
143,179,12,3,3,2,1346,5.48,7.519,1.372,11.87,B,2025-10-07
144,126,9,2,1,1,2165,8.53,2.035,0.239,13.74,A,2025-09-08
145,112,8,4,7,2,1880,2.73,9.659,3.538,6.97,A,2025-08-13
146,216,15,4,3,3,2865,8.8,6.663,0.757,14.52,B,2025-10-15
147,11,1,4,8,1,2755,10.68,18.976,1.777,11.16,B,2025-08-13
148,65,4,4,3,2,2466,1.35,3.939,2.918,11.38,B,2025-10-25
149,434,30,2,6,2,2706,1.21,3.31,2.736,14.05,B,2025-09-01
150,209,14,4,5,1,2098,2.35,11.808,5.025,15.01,A,2025-07-30
151,374,26,3,5,3,1365,10.73,9.648,0.899,12.97,A,2025-09-05
152,216,15,4,4,2,2283,5.2,2.398,0.461,13.06,A,2025-09-24
153,44,3,2,3,2,458,1.12,8.435,7.531,12.91,A,2025-09-22
154,141,9,2,2,3,2433,7.96,4.378,0.55,13.73,C,2025-08-04
155,389,27,1,6,1,420,5.2,3.509,0.675,10.44,B,2025-08-05
156,375,26,3,7,3,230,4.33,3.663,0.846,8.06,B,2025-10-24
157,35,3,2,4,2,867,8.76,2.064,0.236,13.32,C,2025-08-03
158,133,9,2,2,3,1949,7.66,2.202,0.287,10.56,B,2025-09-30
159,237,16,5,6,2,624,8.27,6.316,0.764,9.39,C,2025-09-07
160,419,29,1,4,3,2833,2.39,8.205,3.433,6.84,A,2025-10-26
161,157,10,1,5,3,370,8.85,7.622,0.861,9.1,B,2025-09-06
162,344,23,4,6,2,1127,7.02,2.123,0.302,11.12,A,2025-08-11
163,18,2,4,1,3,2655,9.01,3.77,0.418,14.43,B,2025-08-31
164,242,17,3,5,3,1460,10.6,10.068,0.95,9.87,A,2025-08-13
165,173,12,3,8,2,256,2.8,1.301,0.465,9.66,A,2025-10-02
166,226,15,4,6,3,169,1.13,7.539,6.672,9.72,B,2025-09-09
167,436,30,2,4,1,579,9.19,5.61,0.61,7.75,B,2025-07-12
168,36,3,2,1,1,1201,1.4,7.573,5.409,11.47,B,2025-08-14
169,335,23,4,3,1,542,4.29,3.325,0.775,9.95,A,2025-10-04
170,255,17,3,4,2,1140,0.65,6.055,9.315,16.72,A,2025-07-10
171,148,10,1,2,1,2488,5.18,2.325,0.449,9.7,B,2025-07-13
172,404,28,2,6,3,2185,0.65,5.67,8.723,8.18,B,2025-10-14
173,177,12,3,7,2,970,9.54,2.878,0.302,12.65,A,2025-10-22
174,108,7,1,6,3,922,7.76,3.919,0.505,11.42,A,2025-07-05
175,351,24,4,4,2,2687,10.03,10.845,1.081,6.07,B,2025-07-19
176,436,30,2,8,2,1739,5.9,10.664,1.807,8.51,A,2025-09-01
177,16,2,4,4,1,1842,11.27,1.629,0.145,11.01,C,2025-07-09
178,33,3,2,1,3,1021,3.83,13.834,3.612,6.0,B,2025-10-24
179,153,10,1,7,3,1213,9.35,4.899,0.524,12.85,A,2025-09-07
180,44,3,2,5,3,2118,11.2,7.684,0.686,9.0,A,2025-10-04
181,276,19,5,6,1,209,10.84,10.075,0.929,11.42,A,2025-10-25
182,216,15,4,4,2,1178,6.83,3.045,0.446,15.88,A,2025-10-12
183,307,21,1,3,2,1817,11.58,5.561,0.48,7.62,A,2025-09-14
184,74,5,1,2,3,2519,4.19,12.242,2.922,12.74,C,2025-07-13
185,264,18,5,5,1,367,7.97,0.964,0.121,12.2,C,2025-07-20
186,142,10,1,2,3,649,8.46,2.846,0.336,17.11,C,2025-09-20
187,419,29,1,5,1,2218,11.79,4.42,0.375,12.45,A,2025-07-05
188,77,5,1,6,3,906,7.72,1.465,0.19,6.0,B,2025-10-28
189,126,9,2,7,2,811,7.03,7.191,1.023,11.97,A,2025-08-04
190,115,8,4,8,1,752,1.14,7.181,6.299,14.16,B,2025-10-16
191,186,12,3,4,1,93,9.74,5.943,0.61,8.47,A,2025-08-22
192,43,3,2,2,1,62,10.06,6.545,0.651,14.93,C,2025-07-09
193,43,3,2,1,2,2753,5.72,6.952,1.215,14.19,B,2025-07-30
194,18,2,4,5,3,1628,5.38,6.436,1.196,10.12,A,2025-09-01
195,384,26,3,3,2,749,4.32,0.83,0.192,14.27,A,2025-07-11
196,338,23,4,2,2,882,8.01,4.72,0.589,12.98,A,2025-09-29
197,119,8,4,5,3,2548,1.9,16.91,8.9,11.43,A,2025-08-26
198,214,15,4,4,3,2321,2.03,4.993,2.46,17.98,C,2025-08-12
199,300,20,1,2,3,601,7.5,0.79,0.105,12.65,A,2025-10-18
200,223,15,4,8,2,514,10.33,2.549,0.247,11.3,C,2025-07-04
201,242,17,3,2,2,2827,6.66,8.155,1.224,10.65,B,2025-09-08
202,210,14,4,4,1,421,4.15,8.099,1.952,17.24,A,2025-08-18
203,92,6,1,7,3,441,7.21,7.6,1.054,14.8,A,2025-09-08
204,313,21,1,7,1,116,9.94,4.713,0.474,10.45,C,2025-07-01
205,167,11,2,8,2,875,5.44,2.1,0.386,14.22,A,2025-08-18
206,253,17,3,8,1,1901,8.22,2.737,0.333,8.97,A,2025-08-26
207,247,17,3,4,3,1195,8.42,2.388,0.284,7.54,A,2025-08-28
208,386,26,3,2,2,576,0.72,6.515,9.049,16.46,A,2025-08-20
209,415,28,2,2,1,1187,6.1,1.655,0.271,13.7,A,2025-07-03
210,423,29,1,1,1,2626,8.85,9.541,1.078,16.36,C,2025-07-04
211,287,19,5,4,2,2114,2.38,3.236,1.36,11.71,C,2025-09-09
212,121,8,4,4,3,1824,1.7,1.896,1.115,13.58,A,2025-08-30
213,115,8,4,8,1,2397,11.26,3.12,0.277,15.66,A,2025-09-19
214,303,20,1,3,3,204,11.13,6.223,0.559,11.44,B,2025-10-23
215,368,26,3,3,1,684,2.78,3.399,1.223,14.13,B,2025-08-03
216,48,4,4,4,2,1141,4.25,1.592,0.375,10.7,A,2025-08-22
217,346,23,4,1,1,1150,10.23,3.337,0.326,14.53,B,2025-08-03
218,60,4,4,8,1,1192,7.39,9.564,1.294,10.48,C,2025-07-22
219,228,16,5,1,1,2466,11.78,5.97,0.507,13.52,B,2025-08-01
220,85,6,1,3,2,97,8.11,5.003,0.617,14.43,A,2025-07-19
221,314,21,1,6,3,1125,2.52,7.249,2.877,8.68,C,2025-09-30
222,284,19,5,6,2,1708,1.23,14.472,11.766,9.45,A,2025-10-08
223,261,18,5,1,1,33,4.71,2.996,0.636,11.55,A,2025-08-06
224,6,1,4,2,2,1517,11.58,8.638,0.746,12.52,C,2025-08-30
225,194,13,5,4,3,2748,7.63,7.194,0.943,11.19,B,2025-10-14
226,427,29,1,4,2,2323,9.67,18.954,1.96,14.4,A,2025-09-25
227,109,7,1,2,2,827,1.2,6.381,5.318,12.62,B,2025-10-06
228,378,26,3,6,2,2797,5.54,6.201,1.119,8.17,A,2025-08-17
229,250,17,3,4,1,15,1.47,6.501,4.422,11.71,B,2025-09-19
230,249,17,3,5,1,1816,3.05,3.855,1.264,7.71,B,2025-09-14
231,246,17,3,6,1,865,5.16,8.403,1.628,10.52,B,2025-09-09
232,227,16,5,1,2,1340,10.48,6.662,0.636,6.0,B,2025-10-06
233,1,1,4,3,1,1881,1.24,2.979,2.402,11.55,B,2025-08-21
234,264,18,5,7,3,1925,5.87,7.189,1.225,10.3,A,2025-09-29
235,194,13,5,2,1,826,4.97,5.885,1.184,10.29,B,2025-09-25
236,337,23,4,3,1,2356,0.95,1.648,1.735,12.9,B,2025-10-11
237,177,12,3,8,3,136,2.27,7.662,3.375,15.82,A,2025-10-20
238,128,9,2,5,1,2274,3.88,5.89,1.518,7.68,A,2025-10-12
239,207,14,4,3,2,1583,11.22,4.899,0.437,12.65,A,2025-08-13
240,178,12,3,5,2,1943,7.7,6.255,0.812,11.99,A,2025-08-25
241,195,13,5,2,1,214,8.43,7.796,0.925,13.43,A,2025-07-05
242,67,5,1,4,2,1544,6.8,4.28,0.629,11.39,B,2025-08-27
243,442,30,2,4,1,1741,11.31,2.569,0.227,15.58,B,2025-08-28
244,320,22,1,1,3,741,1.79,5.615,3.137,14.57,B,2025-09-15
245,123,8,4,6,1,526,0.61,6.174,10.121,12.87,A,2025-07-07
246,247,17,3,7,1,239,2.73,6.032,2.21,11.47,B,2025-07-08
247,36,3,2,3,1,1669,8.95,6.953,0.777,11.87,C,2025-09-27
248,290,19,5,6,3,847,9.86,3.552,0.36,16.34,A,2025-08-25
249,139,9,2,3,2,343,2.15,7.993,3.718,13.19,B,2025-10-10
250,44,3,2,8,3,1928,7.57,0.807,0.107,12.16,A,2025-08-07
251,49,4,4,6,1,1763,5.85,6.371,1.089,6.63,C,2025-09-10
252,383,26,3,7,1,84,2.06,7.604,3.691,14.66,C,2025-10-17
253,257,18,5,6,3,1109,6.65,3.188,0.479,13.23,B,2025-09-28
254,290,19,5,4,3,1656,5.59,3.432,0.614,14.87,B,2025-09-11
255,121,8,4,2,2,709,2.84,5.863,2.064,9.9,B,2025-09-27
256,25,2,4,7,2,359,2.58,4.581,1.776,12.7,C,2025-07-18
257,158,10,1,5,2,938,11.07,5.91,0.534,12.73,B,2025-09-16
258,332,23,4,1,1,655,10.66,3.326,0.312,10.04,A,2025-10-06
259,372,26,3,1,3,2001,7.25,2.56,0.353,6.0,B,2025-10-16
260,46,3,2,1,3,2634,11.53,4.934,0.428,10.27,C,2025-08-14
261,79,5,1,7,2,381,0.76,6.576,8.653,17.14,A,2025-10-21
262,405,28,2,8,1,1316,5.81,6.423,1.106,13.06,B,2025-08-07
263,385,26,3,1,2,2790,4.13,7.958,1.927,17.3,A,2025-07-15
264,194,13,5,5,1,1028,9.26,1.84,0.199,14.35,B,2025-07-22
265,266,18,5,1,1,2599,7.59,2.961,0.39,12.15,B,2025-08-17
266,406,28,2,6,2,2691,6.61,10.284,1.556,12.89,C,2025-10-12
267,423,29,1,6,3,771,5.03,6.061,1.205,12.48,A,2025-09-04
268,232,16,5,7,1,1175,2.97,7.323,2.466,12.47,B,2025-10-14
269,413,28,2,8,2,639,6.01,6.371,1.06,13.29,A,2025-09-21
270,262,18,5,3,1,998,10.09,1.517,0.15,16.97,B,2025-10-08
271,177,12,3,5,3,2794,4.46,11.135,2.497,13.37,B,2025-10-16
272,234,16,5,3,2,1985,2.97,8.52,2.869,12.52,A,2025-08-30
273,64,4,4,4,1,1045,5.38,2.661,0.495,8.41,A,2025-07-08
274,59,4,4,7,1,2717,11.17,5.63,0.504,11.13,A,2025-08-26
275,164,11,2,7,2,2212,12.0,5.988,0.499,14.44,B,2025-10-09
276,14,1,4,4,1,491,7.56,16.34,2.161,12.79,B,2025-09-08
277,79,5,1,2,1,354,2.91,2.884,0.991,12.36,B,2025-07-15
278,98,7,1,1,3,2774,7.85,5.643,0.719,10.39,B,2025-10-12
279,37,3,2,3,2,1878,1.79,4.18,2.335,20.0,A,2025-07-22
280,52,4,4,2,3,2480,9.49,5.804,0.612,9.61,B,2025-07-03
281,280,19,5,6,3,831,11.72,6.737,0.575,10.45,A,2025-07-29
282,44,3,2,2,1,2802,9.22,2.527,0.274,11.73,C,2025-09-14
283,249,17,3,8,3,400,5.04,1.053,0.209,10.23,B,2025-07-22
284,351,24,4,5,2,689,9.19,2.696,0.293,12.77,A,2025-09-25
285,409,28,2,7,3,250,0.53,5.157,9.73,12.6,C,2025-10-18
286,155,10,1,5,2,476,10.04,2.506,0.25,14.18,A,2025-09-23
287,31,3,2,7,2,392,4.58,4.389,0.958,9.41,B,2025-10-23
288,236,16,5,7,1,2551,2.81,4.321,1.538,10.9,A,2025-10-15
289,236,16,5,5,1,2595,8.76,1.748,0.2,14.31,A,2025-10-23
290,440,30,2,5,3,1144,8.4,8.565,1.02,11.02,A,2025-07-11
291,369,26,3,4,2,1666,8.53,2.201,0.258,6.0,A,2025-10-22
292,4,1,4,4,1,102,3.99,6.351,1.592,8.62,B,2025-08-03
293,47,3,2,7,3,2568,11.64,11.853,1.018,15.82,B,2025-07-14
294,380,26,3,2,3,1796,11.37,10.034,0.882,16.77,B,2025-09-29
295,209,14,4,6,2,195,5.12,6.983,1.364,15.35,A,2025-08-17
296,228,16,5,1,1,647,10.48,12.054,1.15,9.66,B,2025-10-05
297,234,16,5,8,1,2137,4.46,2.975,0.667,8.22,A,2025-08-12
298,258,18,5,7,3,954,1.91,1.184,0.62,13.51,B,2025-09-25
299,343,23,4,7,2,1998,0.64,7.703,12.036,9.4,A,2025-10-14
300,117,8,4,7,1,1576,7.15,5.856,0.819,12.03,A,2025-09-04
301,324,22,1,6,3,2316,11.99,8.134,0.678,15.03,A,2025-10-21
302,155,10,1,8,3,959,2.52,2.602,1.033,19.13,C,2025-10-28
303,262,18,5,5,2,655,2.3,4.496,1.955,7.75,A,2025-07-04
304,336,23,4,4,1,169,11.88,1.889,0.159,11.11,A,2025-07-03
305,162,11,2,4,1,2874,7.0,11.529,1.647,13.69,A,2025-08-12
306,239,17,3,3,2,1076,2.99,5.386,1.801,11.75,B,2025-08-11
307,429,29,1,3,3,1442,8.79,4.117,0.468,13.76,B,2025-10-26
308,128,9,2,7,3,991,2.12,5.151,2.43,13.18,A,2025-07-15
309,30,2,4,4,2,1075,0.86,4.547,5.287,11.1,B,2025-08-17
310,227,16,5,3,2,1989,2.2,3.16,1.436,11.85,A,2025-08-30
311,133,9,2,5,3,817,6.67,0.872,0.131,9.57,B,2025-09-03
312,440,30,2,6,1,1911,4.92,6.414,1.304,13.65,A,2025-08-04
313,152,10,1,4,3,1899,11.91,5.091,0.427,7.86,A,2025-10-17
314,352,24,4,1,3,903,2.93,9.036,3.084,14.74,A,2025-10-10
315,206,14,4,5,2,1428,10.96,5.106,0.466,14.92,A,2025-07-20
316,365,25,2,6,3,398,3.81,6.557,1.721,14.33,A,2025-08-05
317,369,26,3,6,3,2819,4.93,2.65,0.538,12.99,C,2025-08-20
318,117,8,4,8,1,2636,2.13,10.772,5.057,10.23,A,2025-08-06
319,16,2,4,4,1,1374,6.62,8.666,1.309,11.62,C,2025-08-13
320,439,30,2,4,3,362,9.55,9.474,0.992,19.49,A,2025-08-02
321,226,15,4,7,2,1295,2.79,3.515,1.26,19.2,A,2025-07-12
322,187,12,3,7,2,432,10.54,4.149,0.394,6.0,A,2025-09-05
323,402,28,2,8,3,2387,0.75,6.208,8.277,10.41,B,2025-07-07
324,70,5,1,3,3,538,8.89,1.541,0.173,10.89,B,2025-07-28
325,356,25,2,5,2,1752,9.65,3.989,0.413,9.96,B,2025-08-09
326,236,16,5,8,1,2192,8.68,13.983,1.611,7.9,A,2025-07-06
327,169,11,2,4,3,2650,4.38,6.464,1.476,15.25,C,2025-08-01
328,235,16,5,7,1,183,8.74,12.07,1.381,14.59,A,2025-09-30
329,319,22,1,2,2,599,10.23,6.059,0.592,16.44,A,2025-09-01
330,23,2,4,7,1,1496,5.9,5.361,0.909,12.73,A,2025-08-20
331,367,26,3,1,3,1862,3.48,4.892,1.406,11.14,A,2025-08-05
332,165,11,2,2,2,420,10.14,4.998,0.493,16.98,A,2025-09-01
333,416,29,1,8,3,879,9.1,3.937,0.433,10.34,B,2025-07-23
334,342,23,4,7,2,607,4.42,10.278,2.325,12.41,B,2025-10-28
335,188,13,5,7,1,436,11.1,5.625,0.507,13.08,A,2025-07-02
336,51,4,4,2,3,661,7.49,2.126,0.284,12.21,A,2025-07-09
337,108,7,1,4,1,1298,3.12,3.754,1.203,6.0,C,2025-10-18
338,225,15,4,3,1,2298,5.08,1.718,0.338,11.69,B,2025-08-29
339,90,6,1,8,2,1118,3.34,4.885,1.463,16.51,B,2025-09-13
340,158,10,1,6,3,2321,8.91,9.219,1.035,11.37,A,2025-08-18
341,282,19,5,8,2,2005,1.09,4.269,3.917,8.8,B,2025-09-14
342,198,13,5,6,2,1501,9.21,7.161,0.778,9.58,A,2025-08-05
343,52,4,4,6,3,264,9.99,5.409,0.541,8.82,A,2025-09-19
344,439,30,2,2,2,1816,5.35,2.133,0.399,13.24,B,2025-10-05
345,183,12,3,4,1,980,3.71,2.502,0.674,14.73,A,2025-07-07
346,364,25,2,5,2,26,11.37,7.649,0.673,10.56,A,2025-08-16
347,274,19,5,7,2,1885,11.02,7.592,0.689,12.88,C,2025-10-23
348,238,16,5,3,2,2033,11.63,8.484,0.729,8.6,A,2025-08-24
349,229,16,5,4,2,1472,4.74,4.97,1.049,8.16,A,2025-08-22
