OperationID,FieldID,FarmID,RegionID,CropID,DateTimeID,OperationTypeID,InputMaterialID,Quantity,UnitCost,TotalCost,Operator,CreatedDate
133,81,6,1,4,257,4,7,3.97,127.56,506.41,Team-3,2025-10-03
134,90,6,1,5,2276,5,7,8.05,25.17,202.62,Team-14,2025-10-01
135,64,4,4,8,906,5,1,5.7,25.58,145.81,Team-4,2025-07-30
136,85,6,1,2,185,3,2,6.34,113.52,719.72,Team-14,2025-07-10
137,432,30,2,3,584,5,5,16.7,139.91,2336.5,Team-6,2025-09-02
138,216,15,4,7,2842,5,2,15.23,141.3,2152.0,Team-6,2025-10-16
139,310,21,1,7,1766,5,1,9.61,16.35,157.12,Team-18,2025-07-14
140,94,6,1,1,368,5,6,24.91,118.69,2956.57,Team-5,2025-08-09
141,196,13,5,2,466,4,4,15.15,101.63,1539.69,Team-5,2025-10-11
142,203,13,5,4,2832,2,,7.31,82.04,599.71,Team-19,2025-08-16
143,224,15,4,8,1215,4,1,16.29,17.0,276.93,Team-14,2025-08-18
144,305,20,1,5,1700,2,,20.5,17.98,368.59,Team-2,2025-10-06
145,252,17,3,2,251,5,6,8.4,94.99,797.92,Team-17,2025-10-17
146,209,14,4,4,2205,2,,14.71,13.58,199.76,Team-4,2025-08-15
147,296,20,1,7,829,4,3,10.19,107.71,1097.56,Team-16,2025-08-09
148,209,14,4,2,1154,4,2,22.46,97.0,2178.62,Team-9,2025-07-13
149,256,17,3,3,918,2,,9.59,27.06,259.51,Team-14,2025-10-06
150,174,12,3,3,1305,2,,8.91,81.63,727.32,Team-17,2025-10-25
151,365,25,2,4,2035,1,,11.38,30.79,350.39,Team-12,2025-07-08
152,60,4,4,2,891,4,6,12.95,45.32,586.89,Team-13,2025-09-27
153,400,28,2,2,765,4,7,7.18,86.38,620.21,Team-6,2025-07-05
154,378,26,3,5,432,2,,11.79,114.04,1344.53,Team-14,2025-10-16
155,321,22,1,7,11,3,2,4.93,143.82,709.03,Team-15,2025-10-09
156,424,29,1,8,1356,1,,5.62,11.57,65.02,Team-1,2025-08-23
157,108,7,1,5,1639,4,5,22.46,55.18,1239.34,Team-13,2025-10-01
158,186,12,3,1,1869,4,4,6.4,62.58,400.51,Team-13,2025-08-02
159,260,18,5,8,2099,5,1,10.57,31.66,334.65,Team-13,2025-08-11
160,309,21,1,3,2382,4,3,20.04,57.02,1142.68,Team-7,2025-07-18
161,236,16,5,6,456,2,,9.89,131.75,1303.01,Team-9,2025-08-16
162,340,23,4,2,40,2,,15.79,46.99,741.97,Team-10,2025-08-15
163,196,13,5,2,638,1,,5.66,24.81,140.42,Team-7,2025-09-08
164,39,3,2,8,2836,5,6,9.25,101.6,939.8,Team-14,2025-09-16
165,132,9,2,1,1569,5,2,6.56,124.98,819.87,Team-13,2025-08-01
166,152,10,1,8,1466,5,5,19.15,31.54,603.99,Team-18,2025-08-29
167,284,19,5,4,588,3,5,7.06,71.11,502.04,Team-16,2025-10-17
168,360,25,2,1,291,2,,13.14,29.36,385.79,Team-5,2025-10-19
169,154,10,1,7,1372,5,7,16.73,20.25,338.78,Team-11,2025-08-03
170,139,9,2,8,1901,1,,2.86,100.9,288.57,Team-12,2025-10-11
171,309,21,1,2,2634,4,1,10.62,108.4,1151.21,Team-2,2025-07-19
172,24,2,4,5,1150,5,3,16.82,73.04,1228.53,Team-14,2025-07-06
173,262,18,5,2,8,1,,15.81,47.76,755.09,Team-16,2025-09-19
174,317,22,1,6,742,4,7,4.02,138.45,556.57,Team-20,2025-09-20
175,155,10,1,4,1654,4,7,5.36,69.35,371.72,Team-10,2025-07-27
176,96,6,1,5,1478,1,,2.35,89.73,210.87,Team-16,2025-07-16
177,313,21,1,1,2238,1,,34.53,23.1,797.64,Team-16,2025-09-15
178,182,12,3,7,526,2,,4.28,89.77,384.22,Team-18,2025-07-01
179,183,12,3,4,752,2,,16.69,24.05,401.39,Team-4,2025-08-08
180,208,14,4,7,917,4,4,8.73,133.64,1166.68,Team-15,2025-07-01
181,341,23,4,3,2466,4,1,7.82,120.9,945.44,Team-8,2025-09-28
182,391,27,1,8,2355,1,,12.97,133.15,1726.96,Team-9,2025-09-10
183,323,22,1,1,278,5,3,20.44,47.38,968.45,Team-10,2025-07-24
184,404,28,2,2,2762,4,2,6.8,57.37,390.12,Team-13,2025-07-31
185,12,1,4,4,1735,1,,19.43,137.91,2679.59,Team-7,2025-07-13
186,75,5,1,4,2677,4,4,6.35,49.36,313.44,Team-17,2025-08-29
187,11,1,4,2,1235,3,5,20.24,88.44,1790.03,Team-17,2025-09-07
188,118,8,4,7,1290,2,,8.7,144.75,1259.32,Team-1,2025-09-10
189,7,1,4,1,2154,2,,8.24,149.08,1228.42,Team-8,2025-08-19
190,196,13,5,1,1784,1,,10.51,71.91,755.77,Team-1,2025-07-06
191,113,8,4,3,1123,4,7,17.94,23.85,427.87,Team-20,2025-07-15
192,266,18,5,2,917,3,7,12.88,31.37,404.05,Team-16,2025-09-26
193,90,6,1,4,650,4,7,8.73,26.89,234.75,Team-11,2025-09-07
194,53,4,4,3,747,2,,4.03,73.1,294.59,Team-16,2025-08-04
195,102,7,1,6,2133,4,1,16.06,40.35,648.02,Team-19,2025-09-18
196,114,8,4,3,4,4,4,20.82,30.99,645.21,Team-15,2025-09-30
197,150,10,1,5,2744,2,,10.56,57.61,608.36,Team-12,2025-09-07
198,140,9,2,7,1472,4,3,6.25,33.36,208.5,Team-1,2025-08-05
199,239,17,3,1,293,1,,3.81,115.79,441.16,Team-10,2025-08-27
200,139,9,2,7,1102,3,2,19.78,134.88,2667.93,Team-9,2025-07-31
201,207,14,4,5,1078,1,,11.23,82.97,931.75,Team-13,2025-10-07
202,83,6,1,4,458,4,3,31.77,106.44,3381.6,Team-19,2025-10-20
203,140,9,2,2,2209,5,4,8.15,13.61,110.92,Team-2,2025-09-10
204,151,10,1,8,2438,1,,8.79,63.58,558.87,Team-1,2025-08-09
205,335,23,4,7,1076,1,,11.94,80.54,961.65,Team-19,2025-07-22
206,351,24,4,3,262,5,1,17.81,52.17,929.15,Team-5,2025-09-17
207,200,13,5,3,961,1,,24.25,13.79,334.41,Team-19,2025-09-28
208,254,17,3,3,2854,3,2,8.45,106.66,901.28,Team-13,2025-10-28
209,337,23,4,4,1728,1,,21.53,134.62,2898.37,Team-1,2025-07-29
210,173,12,3,7,300,2,,13.72,68.29,936.94,Team-3,2025-08-27
211,317,22,1,6,2569,1,,9.9,12.39,122.66,Team-8,2025-08-12
212,388,27,1,2,2043,3,3,13.18,67.57,890.57,Team-7,2025-08-03
213,4,1,4,3,284,1,,9.8,103.68,1016.06,Team-7,2025-10-02
214,186,12,3,2,1808,4,6,7.17,144.92,1039.08,Team-9,2025-09-02
215,9,1,4,3,2305,1,,8.21,95.12,780.94,Team-18,2025-08-25
216,233,16,5,3,2739,1,,6.39,126.13,805.97,Team-7,2025-10-11
217,15,1,4,8,1454,5,3,7.08,75.71,536.03,Team-14,2025-08-23
218,159,10,1,5,33,2,,5.16,74.09,382.3,Team-8,2025-09-25
219,67,5,1,3,1708,3,6,14.77,27.31,403.37,Team-14,2025-10-11
220,386,26,3,6,1017,4,7,9.13,11.04,100.8,Team-3,2025-10-21
221,425,29,1,8,1789,2,,8.83,145.05,1280.79,Team-20,2025-10-26
222,291,20,1,4,2407,3,2,21.65,12.61,273.01,Team-5,2025-08-17
223,41,3,2,7,637,4,7,12.12,122.26,1481.79,Team-3,2025-10-17
224,438,30,2,7,1770,2,,7.14,148.16,1057.86,Team-8,2025-08-02
225,191,13,5,2,584,4,1,11.41,22.79,260.03,Team-2,2025-09-23
226,162,11,2,8,2577,1,,19.32,47.61,919.83,Team-19,2025-09-28
227,101,7,1,4,1737,1,,3.45,17.12,59.06,Team-16,2025-07-05
228,139,9,2,8,474,2,,3.48,85.55,297.71,Team-5,2025-07-21
229,20,2,4,4,2155,5,5,5.63,85.51,481.42,Team-1,2025-08-19
230,24,2,4,2,119,3,4,15.56,87.61,1363.21,Team-4,2025-09-28
231,25,2,4,4,1391,4,2,16.86,140.65,2371.36,Team-9,2025-10-14
232,436,30,2,2,68,5,7,18.29,63.79,1166.72,Team-10,2025-09-18
233,298,20,1,6,93,5,3,22.04,142.41,3138.72,Team-4,2025-09-15
234,314,21,1,8,2153,3,7,4.77,120.25,573.59,Team-15,2025-10-14
235,90,6,1,2,731,5,6,19.8,87.27,1727.95,Team-1,2025-08-14
236,378,26,3,7,1044,3,4,10.78,50.6,545.47,Team-18,2025-08-22
237,405,28,2,2,2366,5,5,10.81,117.55,1270.72,Team-15,2025-09-29
238,40,3,2,5,1339,1,,14.35,36.57,524.78,Team-15,2025-08-09
239,114,8,4,1,1132,1,,15.6,146.58,2286.65,Team-13,2025-10-08
240,225,15,4,2,2451,2,,10.25,57.93,593.78,Team-9,2025-10-07
241,80,5,1,4,1785,5,5,6.46,43.37,280.17,Team-7,2025-07-19
242,107,7,1,7,362,2,,16.85,110.02,1853.84,Team-2,2025-08-25
243,443,30,2,5,422,1,,6.82,35.96,245.25,Team-10,2025-10-04
244,276,19,5,6,1911,1,,41.33,88.17,3644.07,Team-19,2025-08-11
245,154,10,1,4,1960,2,,0.68,40.4,27.47,Team-17,2025-10-28
246,187,12,3,3,2340,4,1,19.09,20.82,397.45,Team-14,2025-07-19
247,276,19,5,2,2295,2,,25.79,35.07,904.46,Team-11,2025-09-17
248,45,3,2,5,2759,3,2,2.76,115.75,319.47,Team-10,2025-08-16
249,256,17,3,1,2411,2,,6.8,97.56,663.41,Team-17,2025-07-28
250,232,16,5,1,1594,2,,12.13,147.58,1790.15,Team-17,2025-08-29
251,59,4,4,3,253,4,6,16.8,120.54,2025.07,Team-14,2025-10-21
252,417,29,1,2,2717,3,7,8.87,112.61,998.85,Team-7,2025-08-02
253,437,30,2,3,607,1,,16.73,138.98,2325.14,Team-10,2025-08-11
254,398,28,2,2,1932,5,5,19.31,36.9,712.54,Team-15,2025-07-21
255,398,28,2,6,645,5,1,7.34,99.1,727.39,Team-18,2025-09-06
256,410,28,2,4,297,1,,14.12,61.46,867.82,Team-6,2025-09-01
257,430,30,2,1,1542,4,2,3.85,89.64,345.11,Team-12,2025-07-09
258,186,12,3,3,575,2,,11.45,116.69,1336.1,Team-11,2025-07-27
259,254,17,3,5,1021,5,1,11.76,112.09,1318.18,Team-6,2025-09-20
260,415,28,2,8,956,1,,22.64,61.03,1381.72,Team-7,2025-10-07
261,198,13,5,1,188,4,2,7.45,149.34,1112.58,Team-14,2025-08-12
262,91,6,1,6,2856,1,,11.47,113.94,1306.89,Team-5,2025-09-22
263,152,10,1,4,127,4,5,11.95,148.35,1772.78,Team-11,2025-07-17
264,109,7,1,2,667,1,,17.69,59.33,1049.55,Team-19,2025-09-02
265,98,7,1,7,1081,2,,11.29,34.56,390.18,Team-1,2025-07-29
266,371,26,3,2,1428,5,5,20.32,46.66,948.13,Team-16,2025-09-05
267,178,12,3,7,1770,4,2,10.56,121.05,1278.29,Team-15,2025-07-04
268,341,23,4,3,1815,1,,20.03,53.35,1068.6,Team-6,2025-10-11
269,177,12,3,8,1069,4,3,8.35,121.25,1012.44,Team-11,2025-08-26
270,255,17,3,2,636,1,,28.59,49.29,1409.2,Team-19,2025-08-07
271,24,2,4,3,2032,1,,9.06,100.92,914.34,Team-8,2025-07-11
272,307,21,1,8,2549,2,,14.51,133.42,1935.92,Team-13,2025-07-28
273,398,28,2,6,460,4,5,6.38,106.77,681.19,Team-12,2025-08-14
274,305,20,1,4,1569,3,1,12.14,88.89,1079.12,Team-17,2025-09-17
275,83,6,1,1,1002,4,6,13.36,121.18,1618.96,Team-19,2025-07-04
276,132,9,2,8,1744,2,,14.47,130.24,1884.57,Team-7,2025-08-22
277,156,10,1,6,394,4,6,3.85,33.09,127.4,Team-12,2025-09-05
278,280,19,5,7,2736,1,,15.47,70.8,1095.28,Team-20,2025-10-10
279,17,2,4,5,2117,3,3,14.5,143.06,2074.37,Team-11,2025-08-03
280,41,3,2,4,1129,4,3,8.39,111.64,936.66,Team-4,2025-07-14
281,6,1,4,8,1602,2,,22.14,16.23,359.33,Team-16,2025-09-02
282,244,17,3,1,2236,2,,14.34,145.2,2082.17,Team-14,2025-07-31
283,326,22,1,7,191,2,,26.61,31.55,839.55,Team-15,2025-08-26
284,34,3,2,5,2509,3,5,9.89,43.64,431.6,Team-2,2025-08-08
285,213,15,4,4,2774,5,2,8.47,132.21,1119.82,Team-15,2025-07-04
286,270,18,5,1,1301,1,,6.16,121.29,747.15,Team-3,2025-08-30
287,385,26,3,5,344,4,5,12.2,71.49,872.18,Team-2,2025-09-22
288,9,1,4,2,2469,2,,12.54,80.34,1007.46,Team-9,2025-07-07
289,198,13,5,2,2392,3,4,10.54,133.8,1410.25,Team-19,2025-10-02
290,318,22,1,3,2857,4,2,7.62,142.57,1086.38,Team-17,2025-08-17
291,66,4,4,5,908,2,,21.8,44.23,964.21,Team-1,2025-09-19
292,203,13,5,7,2656,5,5,2.86,132.36,378.55,Team-17,2025-07-02
293,282,19,5,4,564,1,,14.96,34.35,513.88,Team-12,2025-07-03
294,417,29,1,8,2472,4,2,13.09,31.42,411.29,Team-15,2025-08-13
295,285,19,5,1,423,1,,13.07,71.71,937.25,Team-5,2025-09-11
296,213,15,4,1,355,3,2,13.33,85.25,1136.38,Team-18,2025-07-20
297,50,4,4,8,1850,1,,4.32,82.68,357.18,Team-16,2025-08-03
298,104,7,1,5,379,1,,17.61,66.7,1174.59,Team-12,2025-09-28
299,437,30,2,7,1607,1,,7.79,103.64,807.36,Team-5,2025-09-10
300,160,11,2,1,2370,4,4,10.62,11.48,121.92,Team-20,2025-09-03
301,214,15,4,1,2517,2,,3.42,144.53,494.29,Team-17,2025-07-10
302,378,26,3,6,1872,1,,6.47,96.96,627.33,Team-5,2025-08-26
303,358,25,2,2,917,1,,5.45,123.12,671.0,Team-4,2025-09-14
304,350,24,4,4,2689,1,,11.57,11.58,133.98,Team-20,2025-10-13
305,261,18,5,3,2312,2,,12.92,112.58,1454.53,Team-11,2025-09-21
306,177,12,3,3,2277,4,1,29.85,96.99,2895.15,Team-8,2025-07-10
307,44,3,2,5,1207,3,1,20.43,137.04,2799.73,Team-19,2025-08-04
308,173,12,3,4,1062,4,7,18.32,57.17,1047.35,Team-18,2025-09-13
309,365,25,2,8,218,1,,11.52,115.78,1333.79,Team-7,2025-09-28
310,290,19,5,7,712,3,7,13.61,20.73,282.14,Team-2,2025-08-17
311,356,25,2,2,1037,2,,13.44,15.58,209.4,Team-16,2025-09-28
312,188,13,5,4,1030,4,2,13.67,45.33,619.66,Team-1,2025-07-21
313,262,18,5,1,2613,4,1,9.51,69.78,663.61,Team-7,2025-08-16
314,218,15,4,2,2779,5,2,12.75,31.01,395.38,Team-12,2025-08-18
315,317,22,1,7,2771,4,6,11.89,90.07,1070.93,Team-14,2025-09-30
316,156,10,1,8,1971,2,,6.77,123.91,838.87,Team-6,2025-09-05
317,34,3,2,3,2784,1,,7.02,27.37,192.14,Team-4,2025-10-19
318,299,20,1,1,1655,3,2,16.63,133.22,2215.45,Team-18,2025-08-24
319,76,5,1,7,117,3,5,12.01,50.69,608.79,Team-6,2025-07-09
320,422,29,1,6,800,4,4,10.43,15.45,161.14,Team-20,2025-08-24
321,418,29,1,1,1283,4,5,7.78,57.3,445.79,Team-11,2025-08-19
322,296,20,1,8,1360,4,1,21.6,22.93,495.29,Team-8,2025-09-02
323,334,23,4,1,485,2,,9.66,42.18,407.46,Team-12,2025-10-18
324,395,27,1,8,2405,4,1,9.09,42.02,381.96,Team-15,2025-09-21
325,7,1,4,1,2566,3,1,8.16,126.77,1034.44,Team-15,2025-08-08
326,351,24,4,2,1836,3,2,9.06,12.56,113.79,Team-2,2025-08-22
327,7,1,4,3,2119,2,,6.12,63.76,390.21,Team-15,2025-07-10
328,356,25,2,1,2633,4,4,8.08,65.96,532.96,Team-1,2025-09-22
329,284,19,5,7,948,1,,16.36,71.36,1167.45,Team-18,2025-08-08
330,161,11,2,5,927,4,7,13.09,133.83,1751.83,Team-9,2025-09-17
331,379,26,3,3,1730,1,,8.52,91.34,778.22,Team-17,2025-09-05
332,335,23,4,3,1604,2,,13.36,94.06,1256.64,Team-17,2025-09-06
333,131,9,2,2,1496,2,,3.56,27.15,96.65,Team-13,2025-07-31
334,175,12,3,4,1179,1,,13.1,72.85,954.33,Team-4,2025-10-25
335,81,6,1,2,440,5,3,3.83,140.28,537.27,Team-5,2025-09-05
336,191,13,5,6,36,4,7,12.57,110.0,1382.7,Team-2,2025-08-16
337,380,26,3,6,337,2,,10.25,31.59,323.8,Team-19,2025-07-20
338,261,18,5,7,900,4,1,14.43,107.97,1558.01,Team-19,2025-10-01
339,129,9,2,1,1130,2,,18.7,108.4,2027.08,Team-10,2025-10-22
340,29,2,4,1,258,3,6,17.57,73.44,1290.34,Team-14,2025-09-18
341,391,27,1,1,2859,2,,13.55,70.1,949.86,Team-18,2025-10-07
