IrrigationEventID,FieldID,FarmID,RegionID,IrrigationMethodID,DateTimeID,VolumeM3,DurationMinutes,EnergyKWh,SourceType,CreatedDate
44,147,10,1,4,429,65.35,190,13.91,Canal,2025-07-19
45,417,29,1,2,2764,68.9,62,15.04,Borewell,2025-10-21
46,267,18,5,2,55,66.81,231,5.48,Borewell,2025-10-02
47,231,16,5,4,1099,81.96,204,2.0,Borewell,2025-10-08
48,298,20,1,2,1387,54.93,177,9.82,Borewell,2025-08-13
49,270,18,5,2,1165,65.9,145,4.18,Canal,2025-07-08
50,96,6,1,4,996,45.29,122,2.52,Canal,2025-08-01
51,201,13,5,2,2285,35.56,60,9.62,Canal,2025-10-28
52,110,7,1,2,1512,33.72,67,14.94,Borewell,2025-10-03
53,9,1,4,4,1096,54.34,21,23.67,Borewell,2025-08-06
54,210,14,4,2,1329,35.42,209,2.71,Borewell,2025-09-17
55,186,12,3,1,1426,45.72,121,21.63,Borewell,2025-08-24
56,131,9,2,1,2024,106.32,118,13.8,Borewell,2025-07-23
57,67,5,1,4,156,115.52,135,20.06,Borewell,2025-10-04
58,10,1,4,3,333,99.26,91,13.08,Reservoir,2025-07-25
59,260,18,5,4,2670,83.32,86,12.58,Canal,2025-10-01
60,61,4,4,4,21,65.32,167,11.74,Canal,2025-09-04
61,50,4,4,1,1749,143.72,35,13.26,Borewell,2025-08-21
62,321,22,1,4,2286,42.03,79,8.18,Canal,2025-07-06
63,21,2,4,2,207,24.68,128,21.91,Borewell,2025-07-18
64,254,17,3,4,1492,96.34,22,6.77,Borewell,2025-07-09
65,350,24,4,1,686,142.58,19,19.15,Borewell,2025-08-19
66,232,16,5,3,1098,113.05,51,8.56,Borewell,2025-10-19
67,97,6,1,1,5,166.41,109,17.53,Reservoir,2025-10-23
68,45,3,2,4,1511,44.65,135,9.83,Borewell,2025-10-05
69,286,19,5,1,1134,63.34,141,22.7,Reservoir,2025-07-09
70,167,11,2,1,1001,47.42,143,12.81,Canal,2025-10-07
71,61,4,4,2,1837,35.85,153,29.53,Canal,2025-08-10
72,419,29,1,4,774,50.47,147,4.38,Reservoir,2025-07-22
73,215,15,4,4,2227,72.74,108,13.31,Canal,2025-08-10
74,70,5,1,2,2767,46.57,117,12.56,Borewell,2025-08-12
75,301,20,1,4,1620,27.47,61,5.55,Borewell,2025-07-08
76,90,6,1,1,1830,56.26,15,4.63,Borewell,2025-07-30
77,161,11,2,2,2045,157.17,127,13.39,Borewell,2025-08-30
78,158,10,1,4,223,55.16,52,10.84,Canal,2025-09-30
79,361,25,2,4,19,72.48,238,15.28,Borewell,2025-10-20
80,419,29,1,2,1456,27.6,169,8.84,Borewell,2025-09-30
81,269,18,5,2,1754,85.52,161,7.17,Canal,2025-10-15
82,394,27,1,4,2141,106.75,53,10.65,Canal,2025-09-24
83,51,4,4,1,1526,134.31,231,2.23,Reservoir,2025-08-22
84,427,29,1,2,479,75.52,195,5.69,Canal,2025-07-18
85,251,17,3,4,1821,51.84,93,13.01,Reservoir,2025-07-09
86,75,5,1,4,1590,68.06,23,7.57,Borewell,2025-08-16
87,49,4,4,1,1206,43.31,39,0.97,Canal,2025-07-25
88,374,26,3,3,29,139.91,19,12.02,Reservoir,2025-07-06
89,437,30,2,1,449,115.13,152,10.88,Borewell,2025-09-27
90,170,11,2,3,2084,54.9,156,5.21,Borewell,2025-08-21
91,172,11,2,3,463,75.69,49,8.93,Canal,2025-07-25
92,244,17,3,4,266,161.96,124,0.95,Borewell,2025-08-01
93,283,19,5,1,211,85.82,117,11.94,Reservoir,2025-08-24
94,191,13,5,2,198,22.61,149,6.41,Borewell,2025-09-21
95,226,15,4,1,1854,112.51,163,1.32,Borewell,2025-08-01
96,323,22,1,3,1692,106.9,88,26.44,Reservoir,2025-08-07
97,304,20,1,3,441,85.1,152,25.26,Canal,2025-09-30
98,37,3,2,2,2407,34.42,143,12.26,Reservoir,2025-10-26
99,381,26,3,4,377,87.01,137,19.07,Borewell,2025-09-18
100,9,1,4,2,2374,67.28,54,38.52,Canal,2025-08-09
101,443,30,2,3,2444,67.56,184,9.64,Reservoir,2025-07-30
102,45,3,2,1,728,94.88,188,6.85,Borewell,2025-07-15
103,258,18,5,4,1579,79.57,111,9.26,Borewell,2025-08-12
104,129,9,2,2,452,35.89,216,22.59,Canal,2025-09-02
105,388,27,1,3,2310,67.85,84,2.79,Borewell,2025-09-15
106,130,9,2,4,1606,117.51,189,8.16,Borewell,2025-08-20
107,141,9,2,3,1193,43.92,228,9.17,Canal,2025-10-19
108,6,1,4,2,1367,81.66,212,10.44,Reservoir,2025-09-17
109,64,4,4,1,2351,66.88,93,28.85,Borewell,2025-08-02
110,180,12,3,4,1747,107.4,62,27.13,Canal,2025-09-24
111,265,18,5,1,360,27.16,15,23.19,Reservoir,2025-10-04
112,427,29,1,1,2408,85.4,107,10.93,Reservoir,2025-09-02
113,389,27,1,2,285,64.21,84,11.67,Borewell,2025-09-16
114,388,27,1,4,2287,50.47,53,13.37,Borewell,2025-10-08
115,286,19,5,1,788,24.22,187,32.69,Borewell,2025-07-07
116,411,28,2,1,2137,72.2,143,28.76,Borewell,2025-08-17
117,79,5,1,1,2387,37.36,154,15.41,Canal,2025-10-03
118,299,20,1,1,1723,80.55,218,19.12,Borewell,2025-08-04
119,125,8,4,1,380,92.63,199,17.76,Canal,2025-07-22
120,239,17,3,1,12,53.97,210,14.94,Borewell,2025-08-19
121,277,19,5,2,812,67.29,216,5.73,Canal,2025-07-14
122,345,23,4,3,1118,28.94,44,32.52,Canal,2025-08-09
123,321,22,1,1,49,74.0,44,4.35,Reservoir,2025-07-11
124,279,19,5,2,1920,59.33,217,7.65,Borewell,2025-10-07
125,151,10,1,1,2790,68.88,188,0.34,Borewell,2025-10-03
126,59,4,4,1,1606,121.34,92,13.26,Borewell,2025-10-07
127,414,28,2,1,2254,123.93,107,11.99,Borewell,2025-09-01
128,418,29,1,1,774,81.89,51,17.99,Borewell,2025-10-25
129,159,10,1,2,2790,67.71,163,3.37,Borewell,2025-10-26
130,121,8,4,4,1447,69.36,163,9.02,Reservoir,2025-09-10
131,219,15,4,4,2600,94.13,85,17.54,Borewell,2025-08-20
132,84,6,1,3,68,78.71,174,11.51,Canal,2025-09-24
133,384,26,3,3,2568,37.87,72,19.89,Borewell,2025-07-16
134,252,17,3,2,206,122.01,81,25.5,Borewell,2025-07-07
135,224,15,4,2,2845,98.61,108,18.64,Reservoir,2025-10-28
136,14,1,4,3,1988,33.95,191,7.44,Canal,2025-10-13
137,250,17,3,4,2486,99.83,175,51.02,Reservoir,2025-08-23
138,328,23,4,2,2087,100.99,204,8.95,Borewell,2025-09-07
139,90,6,1,4,2586,25.27,146,30.21,Canal,2025-09-26
140,109,7,1,1,583,87.24,234,10.92,Borewell,2025-10-18
141,36,3,2,4,292,33.8,148,6.09,Reservoir,2025-10-28
142,168,11,2,2,439,120.27,137,11.2,Borewell,2025-08-04
143,63,4,4,1,2810,81.09,32,6.78,Canal,2025-10-12
144,417,29,1,3,900,53.33,88,7.52,Borewell,2025-10-26
145,439,30,2,1,273,102.74,45,15.9,Canal,2025-07-05
146,215,15,4,2,1531,101.33,119,18.38,Canal,2025-08-17
147,103,7,1,3,1309,109.29,178,4.51,Borewell,2025-08-19
148,21,2,4,4,955,25.9,99,11.51,Borewell,2025-08-09
149,328,23,4,2,195,77.2,219,15.25,Canal,2025-08-27
150,39,3,2,1,1778,61.29,149,21.54,Borewell,2025-08-31
151,141,9,2,3,2831,40.69,70,17.2,Borewell,2025-10-12
152,296,20,1,1,2186,53.37,229,18.33,Canal,2025-08-11
153,290,19,5,2,33,50.23,199,19.52,Borewell,2025-10-09
154,60,4,4,3,1671,80.17,207,22.44,Reservoir,2025-10-06
155,149,10,1,2,931,48.88,96,15.32,Borewell,2025-07-16
156,402,28,2,2,123,140.26,77,21.01,Borewell,2025-07-01
157,335,23,4,4,1925,127.15,102,38.3,Borewell,2025-10-26
158,377,26,3,1,613,106.12,119,15.83,Canal,2025-08-19
159,363,25,2,4,2683,55.82,141,8.75,Borewell,2025-08-09
160,52,4,4,4,205,36.12,63,24.12,Canal,2025-08-06
161,339,23,4,3,544,60.91,166,5.41,Borewell,2025-10-07
162,18,2,4,4,1829,50.94,49,23.87,Borewell,2025-08-09
163,337,23,4,3,483,32.37,47,3.64,Borewell,2025-08-26
164,119,8,4,4,1499,126.91,206,2.71,Reservoir,2025-07-22
165,369,26,3,2,127,87.15,140,2.61,Canal,2025-07-20
166,150,10,1,3,2683,36.77,62,11.26,Borewell,2025-10-21
167,216,15,4,1,1638,46.82,190,9.1,Borewell,2025-08-02
168,408,28,2,3,343,59.29,134,19.17,Borewell,2025-07-27
169,96,6,1,2,1511,56.75,147,19.25,Canal,2025-08-11
170,172,11,2,3,2455,32.09,142,22.36,Borewell,2025-07-28
171,212,14,4,4,1792,55.45,172,3.52,Canal,2025-09-12
172,375,26,3,1,488,96.05,38,9.56,Borewell,2025-09-25
173,77,5,1,2,1171,105.32,205,6.25,Canal,2025-10-11
174,187,12,3,3,2301,16.48,75,11.5,Canal,2025-09-23
175,307,21,1,2,440,78.37,238,1.72,Canal,2025-10-19
176,353,24,4,4,181,77.72,185,17.93,Canal,2025-08-20
177,412,28,2,3,1923,57.89,54,3.93,Canal,2025-10-24
178,123,8,4,4,942,137.39,160,12.11,Borewell,2025-07-10
179,433,30,2,3,1570,16.63,182,10.54,Reservoir,2025-07-04
180,405,28,2,4,870,30.19,150,15.12,Canal,2025-07-08
181,415,28,2,1,2461,72.57,168,18.91,Canal,2025-08-16
182,117,8,4,4,548,89.37,197,10.87,Canal,2025-08-27
183,379,26,3,1,1950,65.05,141,40.94,Borewell,2025-10-08
184,366,25,2,2,1052,113.84,111,6.92,Borewell,2025-08-10
185,69,5,1,2,1459,79.13,236,2.0,Borewell,2025-08-11
186,328,23,4,4,1385,66.72,178,9.59,Canal,2025-08-15
187,55,4,4,1,178,121.91,154,4.1,Reservoir,2025-07-27
188,238,16,5,1,1498,43.4,204,6.23,Canal,2025-08-25
189,35,3,2,1,1855,31.46,185,7.46,Borewell,2025-09-23
190,43,3,2,2,1788,57.53,113,2.85,Borewell,2025-09-09
191,279,19,5,3,2481,18.23,221,19.14,Canal,2025-08-04
192,308,21,1,3,1946,61.21,64,18.54,Canal,2025-07-05
193,140,9,2,2,1566,70.79,71,5.47,Canal,2025-09-05
194,378,26,3,1,1079,74.78,194,37.97,Canal,2025-09-02
195,315,22,1,1,1255,57.22,148,10.69,Canal,2025-07-23
196,226,15,4,1,2543,19.37,140,11.66,Canal,2025-09-29
197,162,11,2,2,1761,86.6,21,4.84,Borewell,2025-08-12
198,241,17,3,4,1706,47.99,37,10.53,Borewell,2025-09-11
199,411,28,2,3,2717,25.95,87,4.21,Canal,2025-08-06
200,239,17,3,4,1399,62.61,200,11.58,Canal,2025-07-24
201,184,12,3,1,230,152.8,53,20.84,Canal,2025-09-06
202,205,14,4,1,2645,84.59,178,5.98,Reservoir,2025-09-10
203,407,28,2,1,1026,65.94,16,11.12,Reservoir,2025-07-14
204,70,5,1,1,1099,77.79,134,9.67,Borewell,2025-10-15
205,243,17,3,4,2817,97.34,96,12.14,Canal,2025-07-29
206,123,8,4,4,2647,175.13,45,24.51,Borewell,2025-07-27
207,417,29,1,2,1665,85.16,170,8.24,Borewell,2025-09-13
208,44,3,2,2,261,269.8,66,22.06,Reservoir,2025-09-07
209,10,1,4,1,1938,75.48,126,6.99,Borewell,2025-08-01
210,223,15,4,1,2622,106.15,114,2.33,Reservoir,2025-07-23
211,42,3,2,2,2445,94.51,192,20.66,Borewell,2025-10-09
212,60,4,4,3,1774,101.46,230,7.36,Borewell,2025-07-09
213,307,21,1,3,1134,62.65,102,3.89,Canal,2025-08-24
214,352,24,4,3,2227,18.87,170,16.89,Borewell,2025-09-16
215,149,10,1,1,1062,27.49,213,19.07,Borewell,2025-07-03
216,137,9,2,1,1578,67.07,37,13.91,Borewell,2025-09-03
217,293,20,1,3,826,89.26,202,5.88,Reservoir,2025-10-16
218,154,10,1,2,1182,48.52,72,5.14,Borewell,2025-07-03
219,422,29,1,2,2430,52.6,113,17.35,Borewell,2025-08-30
220,255,17,3,3,2178,107.78,36,12.32,Borewell,2025-10-12
221,276,19,5,2,2480,62.47,233,3.75,Borewell,2025-10-09
222,80,5,1,2,103,124.57,106,15.99,Canal,2025-09-15
223,440,30,2,3,542,28.01,103,7.77,Borewell,2025-07-01
224,331,23,4,1,1747,73.66,123,25.37,Reservoir,2025-10-20
225,23,2,4,2,1950,43.76,117,9.1,Borewell,2025-07-21
226,241,17,3,1,1249,43.72,145,5.63,Borewell,2025-10-04
227,376,26,3,4,1025,61.57,219,5.72,Borewell,2025-09-23
228,8,1,4,4,2670,118.27,202,25.41,Canal,2025-08-16
229,236,16,5,3,884,132.65,114,24.49,Borewell,2025-10-04
230,375,26,3,4,2390,26.5,22,3.71,Borewell,2025-08-31
231,3,1,4,2,1506,117.63,140,49.03,Canal,2025-10-15
232,23,2,4,3,1693,53.34,219,26.57,Borewell,2025-10-15
233,291,20,1,2,991,37.22,117,44.11,Canal,2025-10-26
234,402,28,2,1,2439,105.87,16,5.21,Borewell,2025-10-07
235,214,15,4,2,996,39.2,143,29.81,Reservoir,2025-08-01
236,110,7,1,3,2756,56.38,66,3.04,Borewell,2025-10-28
237,401,28,2,3,1019,41.04,91,6.9,Reservoir,2025-09-05
238,299,20,1,2,2431,101.89,197,10.24,Borewell,2025-08-31
239,88,6,1,3,499,98.43,152,11.56,Canal,2025-09-25
240,348,24,4,3,2318,159.74,75,10.17,Borewell,2025-09-26
241,215,15,4,1,2465,64.59,69,7.33,Borewell,2025-09-29
242,307,21,1,1,2880,24.7,136,17.86,Borewell,2025-07-15
243,181,12,3,2,397,28.53,174,13.09,Canal,2025-10-07
244,35,3,2,1,1476,125.56,101,11.43,Canal,2025-09-11
245,140,9,2,2,1584,62.53,21,11.76,Borewell,2025-10-09
246,84,6,1,3,1469,82.44,141,2.47,Canal,2025-10-06
247,160,11,2,4,2181,78.01,164,38.42,Canal,2025-09-22
248,258,18,5,2,799,131.51,73,12.76,Canal,2025-09-09
249,407,28,2,1,297,141.41,119,20.46,Borewell,2025-07-07
250,218,15,4,2,550,47.58,20,8.79,Borewell,2025-10-23
251,291,20,1,2,348,71.85,167,4.33,Canal,2025-08-09
252,199,13,5,4,2623,102.35,53,9.18,Reservoir,2025-08-13
253,275,19,5,2,1722,118.3,52,9.12,Borewell,2025-09-03
254,367,26,3,1,762,142.29,138,18.45,Borewell,2025-10-01
255,397,28,2,4,2732,63.56,150,6.11,Canal,2025-08-26
256,414,28,2,4,316,46.82,122,15.66,Borewell,2025-07-28
257,292,20,1,4,462,88.49,144,1.89,Canal,2025-08-08
258,13,1,4,3,639,207.61,105,9.61,Reservoir,2025-09-15
259,327,22,1,3,2396,129.27,92,33.27,Reservoir,2025-07-11
260,178,12,3,3,1966,62.16,200,9.71,Canal,2025-08-06
261,298,20,1,3,319,173.24,69,4.64,Reservoir,2025-10-16
262,202,13,5,3,2071,33.58,122,5.08,Canal,2025-08-03
263,361,25,2,4,648,139.16,90,26.11,Canal,2025-08-16
264,377,26,3,2,1782,37.11,46,22.13,Borewell,2025-10-07
265,309,21,1,1,2202,65.47,171,15.53,Borewell,2025-08-28
266,127,9,2,1,475,54.78,203,18.43,Canal,2025-09-17
267,206,14,4,1,445,143.12,127,21.68,Borewell,2025-10-04
268,179,12,3,2,2677,101.85,218,3.05,Borewell,2025-07-19
269,125,8,4,4,2529,147.13,93,1.09,Borewell,2025-08-04
270,443,30,2,4,772,41.17,139,12.16,Canal,2025-10-03
271,320,22,1,3,814,21.94,79,20.41,Reservoir,2025-07-22
272,336,23,4,3,1528,39.64,93,32.92,Canal,2025-09-07
273,63,4,4,2,882,88.07,36,22.37,Borewell,2025-08-07
274,361,25,2,4,1994,124.52,84,26.99,Reservoir,2025-08-26
275,396,27,1,3,728,181.79,232,5.11,Canal,2025-10-01
276,183,12,3,2,1827,31.88,22,6.76,Reservoir,2025-09-11
277,230,16,5,2,204,17.79,64,1.75,Canal,2025-07-16
278,171,11,2,1,31,64.62,17,12.17,Borewell,2025-08-22
279,65,4,4,4,2628,70.83,53,5.32,Canal,2025-08-22
280,40,3,2,1,1459,61.01,229,3.61,Borewell,2025-10-12
281,204,13,5,3,2225,82.18,147,11.58,Canal,2025-09-01
282,418,29,1,2,1161,19.9,237,1.51,Canal,2025-07-11
283,340,23,4,2,2659,75.52,136,2.83,Borewell,2025-07-31
284,161,11,2,4,92,161.23,153,4.77,Canal,2025-08-04
285,180,12,3,1,428,176.7,38,11.01,Reservoir,2025-08-25
286,442,30,2,1,933,128.82,31,9.61,Canal,2025-09-17
287,123,8,4,1,931,42.83,35,9.87,Canal,2025-09-23
288,46,3,2,2,1764,85.76,209,22.29,Reservoir,2025-08-31
289,175,12,3,1,1465,162.28,33,6.09,Borewell,2025-08-17
290,53,4,4,3,2409,66.05,47,11.42,Borewell,2025-07-11
291,4,1,4,1,2515,53.34,130,11.46,Borewell,2025-09-13
292,14,1,4,1,2654,117.78,185,6.45,Borewell,2025-10-09
293,198,13,5,3,1060,55.69,179,25.7,Reservoir,2025-08-08
294,23,2,4,2,2116,22.49,206,45.01,Borewell,2025-07-12
295,378,26,3,2,2584,24.83,42,3.47,Borewell,2025-07-15
296,223,15,4,2,2399,93.73,26,8.11,Reservoir,2025-08-30
297,46,3,2,2,2012,123.98,34,50.83,Canal,2025-10-02
298,171,11,2,3,1915,103.0,51,36.46,Canal,2025-10-01
299,166,11,2,4,1971,28.73,90,5.5,Canal,2025-08-09
300,367,26,3,4,2544,23.41,129,15.85,Canal,2025-10-06
301,23,2,4,2,1735,140.24,205,14.05,Borewell,2025-10-07
302,68,5,1,1,317,106.21,111,15.79,Canal,2025-09-21
303,239,17,3,3,2839,123.27,136,9.51,Reservoir,2025-09-21
304,130,9,2,4,539,196.49,60,11.64,Borewell,2025-08-05
305,15,1,4,4,1932,151.15,198,4.96,Borewell,2025-09-02
306,413,28,2,3,1926,61.65,71,18.99,Canal,2025-07-19
307,358,25,2,2,1124,15.11,151,2.71,Borewell,2025-09-07
308,314,21,1,1,223,106.2,115,5.66,Reservoir,2025-09-24
309,249,17,3,3,2336,154.45,199,46.12,Reservoir,2025-10-28
310,118,8,4,3,2311,154.77,73,18.46,Canal,2025-10-20
311,388,27,1,3,1687,87.1,176,58.62,Borewell,2025-08-15
312,95,6,1,3,415,22.69,171,7.4,Canal,2025-08-16
313,70,5,1,4,2842,70.6,18,25.27,Borewell,2025-07-27
314,399,28,2,3,1844,82.27,51,3.44,Canal,2025-09-01
315,317,22,1,3,380,65.12,154,22.03,Borewell,2025-10-14
316,26,2,4,3,2704,40.71,137,4.87,Borewell,2025-07-04
317,291,20,1,4,1404,92.71,36,26.47,Borewell,2025-07-01
318,90,6,1,3,601,206.6,57,31.28,Borewell,2025-08-18
319,223,15,4,2,671,70.89,34,16.58,Borewell,2025-08-30
320,243,17,3,4,1867,105.57,168,3.96,Canal,2025-10-20
321,346,23,4,1,822,104.41,215,6.87,Canal,2025-10-20
322,312,21,1,4,1469,74.73,29,5.95,Borewell,2025-08-27
323,384,26,3,1,2708,72.6,52,1.44,Borewell,2025-07-15
324,425,29,1,2,219,80.12,97,33.97,Canal,2025-07-09
325,224,15,4,4,2145,149.12,221,19.98,Canal,2025-07-11
326,133,9,2,1,2239,52.43,42,8.76,Canal,2025-09-05
327,209,14,4,1,356,60.02,71,27.24,Borewell,2025-07-10
328,116,8,4,4,1999,109.02,99,8.04,Canal,2025-10-14
329,233,16,5,1,541,51.43,235,27.63,Canal,2025-08-09
330,178,12,3,1,360,32.44,200,6.88,Reservoir,2025-09-28
331,375,26,3,2,813,129.02,66,6.34,Canal,2025-07-26
332,167,11,2,4,1775,62.56,216,10.4,Canal,2025-09-27
333,218,15,4,4,420,137.54,225,5.88,Borewell,2025-09-25
334,4,1,4,2,785,137.17,137,16.34,Canal,2025-08-05
335,361,25,2,4,1378,78.81,48,14.96,Canal,2025-07-06
336,175,12,3,4,1343,119.78,159,8.31,Reservoir,2025-09-18
337,293,20,1,1,2696,42.42,116,9.77,Borewell,2025-07-10
338,437,30,2,1,2047,77.23,59,12.34,Borewell,2025-08-09
339,206,14,4,1,2816,89.13,210,7.54,Borewell,2025-08-25
340,167,11,2,1,1797,136.17,16,21.1,Borewell,2025-07-04
341,83,6,1,4,981,49.02,127,24.33,Canal,2025-08-27
342,416,29,1,3,1001,115.57,221,19.75,Canal,2025-10-20
343,292,20,1,4,535,45.78,120,9.14,Canal,2025-07-16
344,120,8,4,3,1375,68.33,33,5.03,Canal,2025-09-12
345,156,10,1,4,179,158.46,55,18.96,Canal,2025-07-29
346,94,6,1,1,2470,24.3,25,4.62,Canal,2025-09-26
347,246,17,3,2,1199,60.4,108,7.49,Canal,2025-07-24
348,142,10,1,1,2083,16.95,210,20.76,Borewell,2025-08-07
349,57,4,4,1,1231,63.82,144,14.22,Borewell,2025-07-17
350,370,26,3,1,1494,35.43,42,8.63,Canal,2025-10-04
351,216,15,4,3,2590,82.55,144,14.75,Borewell,2025-07-16
352,162,11,2,3,2129,80.9,184,11.21,Canal,2025-09-06
353,317,22,1,1,2487,193.37,122,23.67,Canal,2025-07-26
354,431,30,2,2,754,137.57,217,13.42,Canal,2025-09-22
355,309,21,1,1,2622,52.79,93,16.13,Borewell,2025-07-19
356,375,26,3,1,1768,95.87,35,4.13,Canal,2025-10-18
357,63,4,4,3,1825,71.97,238,4.04,Canal,2025-08-03
358,258,18,5,3,2322,44.14,171,2.84,Borewell,2025-07-22
359,70,5,1,2,293,26.14,194,6.88,Borewell,2025-10-26
360,205,14,4,3,2187,155.57,103,17.64,Canal,2025-10-08
361,205,14,4,1,2571,69.74,77,22.32,Canal,2025-07-09
362,384,26,3,4,2384,139.75,194,17.62,Borewell,2025-08-20
363,368,26,3,2,187,23.65,20,23.7,Canal,2025-08-05
364,439,30,2,4,603,49.71,101,6.84,Reservoir,2025-09-30
365,352,24,4,2,2663,70.71,53,38.47,Canal,2025-07-31
366,272,19,5,2,2228,28.23,168,10.8,Canal,2025-08-22
367,364,25,2,1,139,55.42,34,26.6,Borewell,2025-08-03
368,285,19,5,3,1871,74.23,185,3.38,Borewell,2025-08-29
369,53,4,4,3,1511,74.38,168,42.6,Canal,2025-09-03
370,35,3,2,2,2624,61.13,118,15.98,Canal,2025-10-06
371,177,12,3,3,783,74.1,25,27.68,Borewell,2025-08-27
372,221,15,4,2,2711,97.7,33,15.54,Canal,2025-09-11
373,390,27,1,1,2815,70.15,174,15.29,Borewell,2025-10-20
374,403,28,2,4,904,43.76,124,14.09,Canal,2025-08-14
375,443,30,2,1,127,128.28,135,2.19,Canal,2025-10-06
376,194,13,5,4,1112,63.06,69,7.09,Canal,2025-07-19
377,292,20,1,1,799,203.38,202,19.51,Canal,2025-07-03
378,244,17,3,1,1051,111.13,222,21.9,Borewell,2025-10-03
379,361,25,2,1,6,26.63,19,3.22,Borewell,2025-10-07
380,87,6,1,1,1256,118.81,114,18.53,Canal,2025-10-04
381,91,6,1,3,260,58.95,148,3.17,Reservoir,2025-08-19
382,69,5,1,2,873,71.0,18,27.09,Canal,2025-07-13
383,128,9,2,3,2862,89.5,129,23.44,Canal,2025-10-18
384,320,22,1,2,2121,41.65,100,7.93,Borewell,2025-10-06
385,102,7,1,1,1804,28.7,142,17.06,Canal,2025-07-29
386,354,24,4,3,151,111.99,154,4.71,Reservoir,2025-08-25
387,311,21,1,3,1783,116.27,162,2.88,Canal,2025-07-09
388,216,15,4,1,260,70.18,94,7.07,Borewell,2025-08-03
389,418,29,1,2,670,101.07,72,1.51,Canal,2025-09-21
390,271,18,5,1,1723,49.22,186,9.74,Borewell,2025-08-01
391,316,22,1,1,1476,97.42,15,18.26,Canal,2025-07-10
392,432,30,2,4,1943,146.11,208,10.88,Canal,2025-07-09
393,21,2,4,1,673,71.86,125,25.67,Borewell,2025-10-10
394,72,5,1,1,164,13.16,79,8.62,Canal,2025-08-24
395,319,22,1,1,774,48.81,38,15.65,Canal,2025-07-25
396,279,19,5,3,23,141.52,50,8.6,Canal,2025-10-20
397,207,14,4,3,1170,71.31,211,19.91,Canal,2025-10-08
398,15,1,4,2,1939,42.88,236,34.04,Canal,2025-07-21
399,262,18,5,1,544,109.61,162,25.14,Borewell,2025-09-16
400,321,22,1,3,860,112.23,185,3.38,Canal,2025-07-04
401,64,4,4,1,1534,60.64,63,14.64,Canal,2025-07-08
402,404,28,2,1,1766,62.46,166,10.97,Borewell,2025-09-14
