PestIncidentID,FieldID,FarmID,RegionID,CropID,PestID,SeverityID,DateTimeID,AreaAffectedHectares,ActionTakenID,FollowUpRequired,CreatedDate
30,118,8,4,3,1,3,2090,4.12,1,0,2025-07-17
31,383,26,3,8,1,4,1398,2.28,2,0,2025-09-26
32,241,17,3,2,2,2,1906,1.49,3,1,2025-08-16
33,432,30,2,3,3,3,1897,1.63,4,1,2025-07-05
34,136,9,2,4,3,1,1394,2.98,3,0,2025-09-22
35,323,22,1,8,3,2,1774,1.54,2,1,2025-09-24
36,66,4,4,4,5,2,884,4.43,4,0,2025-09-06
37,420,29,1,2,4,1,1222,0.22,3,1,2025-08-25
38,427,29,1,3,4,1,2760,4.97,4,1,2025-08-27
39,17,2,4,5,5,4,120,0.62,2,0,2025-07-25
40,60,4,4,3,2,1,141,4.6,4,1,2025-09-16
41,130,9,2,5,3,4,68,4.45,1,0,2025-10-27
42,172,11,2,5,3,1,5,4.13,2,0,2025-07-09
43,86,6,1,8,3,4,71,0.82,4,0,2025-10-03
44,401,28,2,6,3,2,2484,3.59,3,0,2025-07-02
45,174,12,3,8,4,3,485,3.37,2,1,2025-08-22
46,286,19,5,2,2,1,436,4.35,2,0,2025-08-31
47,93,6,1,5,5,4,401,0.76,3,1,2025-08-13
48,265,18,5,8,2,3,1879,3.67,2,0,2025-10-19
49,31,3,2,1,1,4,165,0.76,2,0,2025-10-13
50,132,9,2,4,5,3,2154,3.89,4,0,2025-09-18
51,376,26,3,5,3,1,2294,3.06,3,0,2025-10-01
52,387,27,1,1,5,2,2570,4.02,4,0,2025-08-13
53,361,25,2,3,2,2,2808,0.37,3,0,2025-09-04
54,305,20,1,7,3,1,1454,4.4,4,1,2025-09-14
55,208,14,4,6,2,1,710,1.05,1,0,2025-09-28
56,192,13,5,7,2,1,904,4.53,4,0,2025-09-08
57,137,9,2,4,5,1,1135,3.6,3,1,2025-07-13
58,332,23,4,4,2,2,2131,4.27,1,0,2025-08-19
59,441,30,2,3,2,4,1650,1.7,1,0,2025-09-17
60,166,11,2,3,3,2,1448,0.43,3,0,2025-09-06
61,338,23,4,5,5,3,794,1.1,3,0,2025-09-11
62,225,15,4,5,4,2,2552,1.78,1,0,2025-09-27
63,172,11,2,5,2,1,1334,4.19,2,0,2025-10-06
64,176,12,3,4,3,1,2476,4.71,3,0,2025-10-25
65,335,23,4,5,1,2,1853,1.64,1,0,2025-10-18
66,351,24,4,1,2,4,2646,0.77,3,0,2025-08-17
67,124,8,4,5,4,1,2825,0.65,1,0,2025-07-06
68,58,4,4,4,2,4,253,3.52,1,0,2025-09-14
69,107,7,1,1,2,2,1491,4.53,3,0,2025-07-29
70,214,15,4,7,5,3,1862,4.42,1,0,2025-10-19
71,72,5,1,5,3,1,130,0.6,1,0,2025-09-16
72,150,10,1,8,1,4,2104,0.91,2,0,2025-09-23
73,131,9,2,7,1,2,1316,1.3,1,1,2025-08-13
74,154,10,1,3,1,3,2793,3.09,4,0,2025-10-26
75,417,29,1,2,2,2,1201,2.41,1,0,2025-08-06
76,18,2,4,7,5,2,1432,0.3,3,0,2025-08-05
77,62,4,4,6,1,2,2394,2.0,3,1,2025-10-04
78,96,6,1,2,1,4,2517,0.95,2,0,2025-10-08
79,226,15,4,4,5,2,616,3.13,4,0,2025-08-14
80,8,1,4,6,2,2,1847,3.72,3,0,2025-09-16
81,165,11,2,8,1,2,1975,3.5,2,1,2025-10-14
82,117,8,4,8,1,2,2205,1.71,2,0,2025-09-22
83,80,5,1,7,1,4,504,2.0,4,0,2025-08-08
84,397,28,2,8,5,3,830,1.4,3,0,2025-09-26
85,228,16,5,1,4,2,2158,2.53,2,0,2025-08-05
86,261,18,5,1,4,4,2665,4.53,2,0,2025-07-17
87,347,24,4,3,3,4,1621,2.74,1,0,2025-07-03
88,2,1,4,1,4,3,2118,4.42,4,1,2025-10-24
89,303,20,1,6,4,2,323,4.72,3,0,2025-07-27
90,266,18,5,3,4,4,2665,4.58,4,0,2025-07-27
91,324,22,1,7,1,2,213,3.71,1,0,2025-09-13
92,324,22,1,3,4,1,684,4.15,1,0,2025-08-24
93,355,25,2,1,1,1,2665,2.41,2,0,2025-09-01
94,394,27,1,2,2,3,68,0.61,2,1,2025-07-28
95,200,13,5,5,2,3,2134,2.34,4,1,2025-10-07
96,67,5,1,4,2,1,676,0.63,1,0,2025-07-14
97,434,30,2,3,3,1,2416,2.04,1,0,2025-08-22
98,343,23,4,6,4,1,2760,0.88,2,0,2025-09-15
99,261,18,5,2,1,2,1696,4.57,2,0,2025-10-02
100,257,18,5,3,5,2,2596,3.46,4,0,2025-10-02
101,79,5,1,2,4,4,2338,0.57,3,0,2025-08-20
102,193,13,5,1,4,3,2455,4.44,4,1,2025-08-22
103,168,11,2,2,4,2,2250,0.8,1,0,2025-07-17
104,338,23,4,5,3,1,2433,3.0,3,0,2025-10-07
105,300,20,1,4,5,1,1672,2.75,2,1,2025-07-13
106,331,23,4,1,4,1,1915,0.51,3,1,2025-09-15
107,315,22,1,1,2,3,457,3.55,1,1,2025-10-02
108,198,13,5,2,2,1,117,3.8,2,1,2025-10-25
109,406,28,2,3,4,3,2,2.37,3,0,2025-08-19
110,356,25,2,7,5,2,928,1.02,2,1,2025-08-28
111,223,15,4,7,1,1,1047,2.53,2,1,2025-07-04
112,161,11,2,3,1,4,2458,0.32,2,0,2025-10-21
113,361,25,2,1,5,4,2624,0.69,4,1,2025-09-13
114,145,10,1,2,5,3,689,0.91,3,0,2025-09-26
115,346,23,4,3,4,2,2296,4.06,2,0,2025-07-04
116,210,14,4,1,5,1,1969,4.58,4,0,2025-07-19
117,297,20,1,6,4,3,459,0.86,3,0,2025-10-15
118,214,15,4,8,4,3,210,2.62,3,1,2025-08-04
119,309,21,1,3,2,4,722,2.57,4,1,2025-09-02
120,223,15,4,1,1,3,1130,2.01,2,1,2025-08-31
121,119,8,4,2,3,1,222,2.69,2,1,2025-07-21
122,433,30,2,4,5,3,2229,0.27,3,0,2025-08-10
123,36,3,2,2,5,1,1665,4.13,2,1,2025-08-24
124,69,5,1,1,4,3,205,1.01,3,1,2025-07-27
125,363,25,2,7,1,3,39,1.55,3,0,2025-09-07
126,104,7,1,4,3,3,2007,1.15,4,1,2025-07-08
127,308,21,1,3,5,3,476,0.32,1,0,2025-07-29
128,178,12,3,8,3,1,831,1.56,1,0,2025-07-06
129,296,20,1,4,3,4,982,0.42,1,0,2025-10-03
130,134,9,2,6,1,3,2533,2.65,2,0,2025-10-21
131,187,12,3,4,3,2,1161,1.34,3,0,2025-08-09
132,276,19,5,6,5,3,1969,3.53,3,0,2025-07-13
133,250,17,3,2,2,2,1431,1.0,1,0,2025-09-13
134,236,16,5,3,2,3,1660,3.3,2,0,2025-08-23
135,371,26,3,7,2,3,1956,3.31,3,0,2025-10-15
136,151,10,1,3,4,3,219,0.53,4,0,2025-10-06
137,44,3,2,2,2,2,244,3.73,4,1,2025-08-04
138,293,20,1,5,2,4,2732,4.38,2,0,2025-10-03
139,439,30,2,4,1,3,2733,0.69,4,0,2025-07-27
140,387,27,1,6,3,3,2131,2.2,3,0,2025-10-07
141,55,4,4,5,4,2,2575,3.2,3,1,2025-08-28
142,392,27,1,8,3,2,1757,3.06,1,0,2025-09-26
143,243,17,3,4,2,2,1430,4.83,3,1,2025-07-10
144,2,1,4,1,2,1,903,4.91,2,1,2025-09-28
145,121,8,4,6,4,1,2317,3.46,3,0,2025-07-01
146,254,17,3,3,3,3,2160,0.52,2,0,2025-10-25
147,308,21,1,1,4,1,1599,1.61,3,0,2025-10-08
148,215,15,4,2,5,4,2737,0.4,4,0,2025-09-04
149,299,20,1,1,5,1,2734,4.42,4,0,2025-10-25
150,98,7,1,7,4,1,1825,0.99,1,0,2025-09-05
151,252,17,3,6,1,2,238,1.4,2,0,2025-08-05
152,33,3,2,2,4,4,1081,4.59,3,0,2025-08-24
153,83,6,1,3,4,2,1927,2.95,3,1,2025-08-05
154,260,18,5,8,4,3,10,3.28,4,0,2025-09-23
155,247,17,3,7,2,4,1885,1.35,3,0,2025-10-14
156,255,17,3,7,5,1,2729,2.28,4,0,2025-09-06
157,191,13,5,7,2,3,1742,0.58,4,0,2025-08-05
158,1,1,4,7,5,3,1742,1.24,3,1,2025-09-12
159,386,26,3,7,3,2,1762,1.39,4,0,2025-09-30
160,367,26,3,7,5,3,841,4.69,3,1,2025-10-27
161,197,13,5,7,1,1,2444,4.23,2,0,2025-07-29
162,378,26,3,8,1,1,188,3.33,3,0,2025-08-16
163,17,2,4,2,3,3,1692,0.73,1,0,2025-07-23
164,173,12,3,2,2,2,1401,3.97,2,0,2025-09-19
165,382,26,3,2,2,1,1814,2.07,3,0,2025-10-04
166,203,13,5,7,5,4,2666,0.38,4,0,2025-10-04
167,387,27,1,7,2,3,2019,4.19,2,0,2025-08-18
168,300,20,1,2,5,3,356,2.09,2,1,2025-09-26
169,49,4,4,7,5,4,854,2.81,2,1,2025-09-30
170,7,1,4,2,5,1,939,0.55,3,0,2025-10-23
171,305,20,1,8,3,3,1078,3.73,2,1,2025-10-25
172,42,3,2,3,4,2,2731,3.87,2,0,2025-08-25
173,83,6,1,5,4,1,2762,3.45,1,0,2025-08-24
174,73,5,1,7,4,2,1229,3.21,1,0,2025-07-14
175,193,13,5,5,1,4,1785,3.47,4,1,2025-09-14
176,164,11,2,3,2,1,2818,3.5,4,0,2025-07-06
177,8,1,4,2,1,1,2239,1.76,4,0,2025-09-20
178,269,18,5,2,1,1,760,4.48,1,0,2025-07-23
179,389,27,1,7,1,1,1807,2.03,3,1,2025-08-04
180,210,14,4,7,4,4,462,3.15,1,0,2025-08-16
181,433,30,2,5,2,1,2422,3.39,4,1,2025-10-03
182,256,17,3,4,4,1,87,3.69,2,1,2025-09-13
183,396,27,1,6,4,1,1527,2.65,3,1,2025-07-30
184,363,25,2,1,3,3,2260,0.41,2,0,2025-08-24
185,247,17,3,1,3,2,1181,3.62,2,1,2025-08-23
186,24,2,4,4,4,3,1057,4.96,2,0,2025-07-17
187,327,22,1,4,4,1,1902,2.89,4,1,2025-08-26
188,436,30,2,3,2,1,377,3.56,2,1,2025-08-19
189,90,6,1,2,4,1,1989,0.8,1,0,2025-07-27
190,295,20,1,1,4,2,969,2.03,3,0,2025-08-10
191,344,23,4,4,1,2,1787,1.81,1,0,2025-08-31
192,415,28,2,1,4,1,2598,2.12,2,1,2025-09-17
193,289,19,5,6,4,3,1280,4.57,2,0,2025-09-30
194,245,17,3,8,1,1,759,0.27,4,1,2025-10-24
195,315,22,1,3,1,1,1223,1.86,4,0,2025-08-12
196,282,19,5,3,2,2,2006,2.4,1,0,2025-07-24
197,107,7,1,7,2,3,666,0.37,2,1,2025-09-14
198,329,23,4,4,3,1,178,4.73,2,0,2025-07-12
199,107,7,1,2,5,2,399,4.98,1,0,2025-09-14
200,368,26,3,3,2,4,1738,1.85,3,0,2025-07-31
201,101,7,1,2,5,3,210,1.95,2,0,2025-10-14
202,123,8,4,6,2,1,484,3.61,1,0,2025-10-20
203,201,13,5,8,5,2,2357,4.96,1,0,2025-10-13
204,39,3,2,3,3,2,886,0.34,1,1,2025-09-14
205,295,20,1,6,3,4,1874,4.79,3,0,2025-09-20
206,261,18,5,6,3,2,134,3.74,4,0,2025-08-27
207,49,4,4,7,2,2,755,2.24,1,0,2025-08-31
208,41,3,2,7,4,4,1848,1.1,1,0,2025-08-08
209,51,4,4,4,5,4,2692,1.7,4,1,2025-09-19
210,192,13,5,8,4,4,661,0.33,3,0,2025-10-03
211,352,24,4,1,2,4,907,1.49,2,0,2025-08-25
212,259,18,5,8,5,4,2624,2.64,3,0,2025-09-14
213,7,1,4,3,5,1,2250,4.07,1,0,2025-10-26
214,427,29,1,7,4,2,2328,3.63,3,0,2025-08-12
215,375,26,3,6,1,2,788,3.49,1,0,2025-07-26
216,241,17,3,8,3,1,2334,2.68,3,1,2025-09-24
217,343,23,4,3,4,4,307,1.91,3,0,2025-07-24
218,315,22,1,3,1,2,2591,3.29,4,0,2025-08-09
219,151,10,1,6,3,1,2064,2.07,1,0,2025-09-24
220,212,14,4,5,5,1,876,0.84,2,0,2025-07-23
221,104,7,1,6,3,4,110,3.16,3,1,2025-10-07
222,256,17,3,4,4,2,2242,3.68,1,0,2025-07-12
223,221,15,4,5,3,2,399,1.77,1,1,2025-08-02
224,156,10,1,4,4,3,2005,3.69,4,0,2025-10-14
225,213,15,4,7,1,3,715,0.49,1,0,2025-10-23
226,367,26,3,4,2,3,1498,1.71,2,0,2025-07-15
227,291,20,1,7,1,3,1494,4.31,2,0,2025-08-30
228,95,6,1,6,1,4,1780,0.15,4,0,2025-08-16
229,202,13,5,5,2,2,402,2.76,2,0,2025-09-29
230,160,11,2,6,2,4,2524,3.78,4,1,2025-10-21
231,134,9,2,3,5,2,2203,1.83,4,0,2025-08-16
232,52,4,4,4,1,4,380,4.27,4,1,2025-09-12
233,238,16,5,4,1,2,1975,3.15,3,1,2025-08-27
234,189,13,5,7,3,4,1617,0.16,4,1,2025-08-25
235,45,3,2,7,1,4,2738,2.81,3,0,2025-09-17
236,221,15,4,8,3,4,906,2.78,4,1,2025-10-21
237,246,17,3,8,3,1,2631,0.99,2,1,2025-09-04
238,388,27,1,6,4,3,1947,4.81,3,0,2025-08-18
239,243,17,3,2,2,3,2533,3.46,2,1,2025-07-24
240,348,24,4,1,4,3,2100,1.5,1,0,2025-09-27
241,127,9,2,3,4,1,716,3.78,2,0,2025-09-03
242,358,25,2,1,3,2,920,1.89,1,1,2025-08-24
243,405,28,2,5,4,1,964,2.37,4,0,2025-08-20
244,100,7,1,6,4,3,2577,0.55,4,0,2025-10-06
245,214,15,4,1,3,1,2045,3.83,3,1,2025-08-15
246,12,1,4,6,1,2,1363,1.04,3,1,2025-08-30
247,41,3,2,6,1,4,1118,1.12,3,0,2025-07-22
248,53,4,4,3,3,2,2407,3.64,2,1,2025-09-26
249,92,6,1,2,3,1,226,1.43,2,0,2025-10-28
250,99,7,1,5,1,1,2674,2.07,1,1,2025-07-15
251,48,4,4,1,3,4,566,4.07,4,0,2025-08-16
252,284,19,5,2,4,4,2490,3.95,3,1,2025-09-02
253,236,16,5,7,1,1,836,1.95,3,0,2025-10-13
254,18,2,4,3,5,4,2296,4.76,4,0,2025-08-20
255,58,4,4,2,4,3,981,4.89,1,0,2025-08-06
256,181,12,3,4,2,2,9,0.41,4,1,2025-09-06
257,128,9,2,7,3,4,1531,2.75,3,0,2025-09-27
258,160,11,2,3,5,1,198,3.82,4,0,2025-07-21
259,156,10,1,1,4,2,1130,0.33,3,0,2025-09-01
260,152,10,1,6,1,3,2606,2.63,1,0,2025-09-03
261,175,12,3,3,1,3,1161,0.43,2,0,2025-10-26
262,120,8,4,4,1,3,2085,4.85,3,0,2025-09-29
263,189,13,5,8,3,3,673,1.98,1,0,2025-10-16
264,221,15,4,1,5,4,2076,2.19,1,0,2025-10-04
265,371,26,3,6,5,1,190,1.18,3,0,2025-10-23
266,396,27,1,8,4,4,2828,2.04,2,1,2025-09-03
267,20,2,4,8,5,4,843,2.96,2,0,2025-08-25
268,300,20,1,4,5,2,594,1.01,2,0,2025-07-31
269,306,21,1,7,3,4,1642,3.57,4,1,2025-07-09
270,37,3,2,1,3,1,1496,2.75,3,1,2025-09-10
271,428,29,1,6,4,1,644,2.18,2,0,2025-09-24
272,165,11,2,6,4,2,1551,0.67,2,0,2025-10-13
273,205,14,4,7,4,3,1291,0.81,3,1,2025-08-29
274,388,27,1,7,5,2,813,0.86,4,1,2025-08-19
275,142,10,1,2,2,4,2336,2.25,1,0,2025-08-11
276,223,15,4,6,2,4,1938,2.4,1,0,2025-08-21
277,89,6,1,8,2,3,961,0.84,3,1,2025-09-18
278,363,25,2,5,2,4,1510,4.76,4,0,2025-09-05
279,308,21,1,1,5,1,128,0.5,2,0,2025-07-13
280,78,5,1,8,3,2,263,1.11,4,0,2025-10-22
281,210,14,4,4,1,1,1010,0.56,4,0,2025-07-02
282,99,7,1,4,5,3,2374,1.06,1,1,2025-09-12
283,19,2,4,4,2,2,1992,0.24,2,0,2025-07-03
284,238,16,5,7,2,2,2826,4.13,2,0,2025-10-20
285,412,28,2,6,3,2,885,2.08,2,0,2025-07-27
286,121,8,4,2,2,3,2328,3.39,4,0,2025-09-28
287,219,15,4,7,5,4,1199,3.66,3,1,2025-09-20
288,129,9,2,6,4,3,642,2.71,3,0,2025-07-12
289,332,23,4,7,1,2,447,1.74,2,0,2025-08-26
290,220,15,4,3,2,1,2578,4.55,4,1,2025-10-10
291,180,12,3,5,3,2,689,3.3,2,0,2025-09-03
292,230,16,5,2,2,1,319,0.21,1,0,2025-07-10
293,5,1,4,8,1,2,225,0.3,2,1,2025-07-16
294,418,29,1,5,1,1,2409,4.94,1,1,2025-08-12
295,207,14,4,6,4,1,3,3.24,2,0,2025-09-30
296,76,5,1,4,4,2,1351,3.26,2,0,2025-07-31
297,374,26,3,8,3,1,78,1.4,4,0,2025-10-23
298,384,26,3,2,1,4,290,1.34,3,0,2025-08-20
299,99,7,1,5,1,4,2532,2.39,3,1,2025-07-17
300,182,12,3,7,1,2,465,3.67,2,0,2025-08-21
301,361,25,2,4,3,4,134,1.56,4,1,2025-07-06
302,203,13,5,7,2,3,1536,4.1,3,0,2025-07-24
303,145,10,1,7,1,4,740,1.48,3,0,2025-10-23
304,18,2,4,7,1,1,236,4.42,1,0,2025-08-15
305,41,3,2,8,1,2,968,4.34,3,0,2025-08-07
306,422,29,1,5,5,3,2586,0.49,3,1,2025-10-14
307,154,10,1,6,4,1,406,4.07,3,1,2025-08-26
308,40,3,2,6,2,1,561,0.98,2,0,2025-10-19
309,138,9,2,1,4,4,1168,3.03,1,1,2025-09-18
310,4,1,4,4,4,1,376,1.5,3,1,2025-10-15
311,414,28,2,7,5,1,1354,1.74,2,1,2025-10-20
312,156,10,1,2,3,2,2300,3.5,4,0,2025-10-16
313,139,9,2,1,4,1,2242,1.97,2,0,2025-07-06
314,284,19,5,3,2,4,1159,3.74,2,0,2025-09-03
315,211,14,4,3,4,1,485,2.51,2,0,2025-09-04
316,56,4,4,6,1,4,2499,0.96,4,0,2025-07-28
317,301,20,1,4,1,1,387,4.27,2,1,2025-08-17
318,274,19,5,3,3,4,621,3.77,2,0,2025-08-16
319,239,17,3,8,3,2,1375,2.68,4,0,2025-07-22
320,240,17,3,8,1,3,2472,1.38,1,0,2025-09-28
321,391,27,1,1,4,1,297,2.85,2,0,2025-07-27
322,368,26,3,5,1,3,1455,3.78,1,0,2025-08-06
323,110,7,1,7,1,3,591,0.7,4,1,2025-09-06
324,10,1,4,3,4,1,842,0.28,1,1,2025-10-06
325,300,20,1,1,4,2,459,1.13,1,0,2025-07-27
326,130,9,2,1,3,2,864,4.05,3,1,2025-09-01
327,290,19,5,8,5,1,1942,4.49,2,0,2025-09-24
328,149,10,1,5,1,2,2360,0.85,4,0,2025-07-12
329,87,6,1,3,1,3,541,3.18,3,0,2025-08-21
330,280,19,5,2,1,3,2007,0.84,1,0,2025-09-07
331,61,4,4,1,5,2,1943,4.34,2,0,2025-07-18
332,25,2,4,1,1,3,2275,3.11,4,0,2025-07-10
333,343,23,4,8,3,4,2792,3.86,2,0,2025-09-14
334,328,23,4,8,5,3,898,0.75,4,1,2025-07-21
335,343,23,4,4,3,3,2071,0.21,4,0,2025-07-08
336,37,3,2,6,3,4,2323,3.1,1,0,2025-10-20
337,433,30,2,2,5,2,2375,2.23,1,0,2025-08-02
338,385,26,3,3,2,3,645,2.8,1,0,2025-07-18
339,86,6,1,6,5,4,434,3.8,4,1,2025-10-13
340,125,8,4,6,1,3,996,1.95,2,0,2025-07-03
341,143,10,1,7,1,4,880,3.82,3,0,2025-09-07
342,103,7,1,8,4,3,1388,3.13,1,1,2025-07-27
343,174,12,3,5,5,2,2692,4.36,3,0,2025-08-11
344,332,23,4,5,2,2,1741,0.33,2,1,2025-08-23
345,388,27,1,5,1,3,623,4.63,2,1,2025-07-01
346,276,19,5,4,2,1,867,2.18,1,0,2025-07-03
347,329,23,4,3,4,2,2026,1.85,2,0,2025-10-25
348,262,18,5,7,1,2,968,3.86,3,1,2025-10-21
349,26,2,4,8,4,2,46,1.09,2,0,2025-08-31
350,191,13,5,7,5,1,2692,3.73,4,0,2025-09-01
351,441,30,2,7,2,1,1239,2.6,2,0,2025-09-03
352,373,26,3,4,5,3,2489,4.37,3,1,2025-08-15
353,101,7,1,8,3,3,1896,3.34,4,0,2025-09-10
354,277,19,5,4,1,2,727,2.42,1,0,2025-10-16
355,141,9,2,8,1,2,1828,4.24,3,0,2025-07-14
356,168,11,2,7,1,2,840,1.11,2,0,2025-08-30
357,124,8,4,5,5,4,2741,3.65,2,0,2025-08-22
358,416,29,1,4,1,3,598,4.38,2,0,2025-07-20
359,15,1,4,5,5,1,2251,3.01,3,0,2025-10-12
360,223,15,4,6,2,3,2216,0.64,1,1,2025-09-01
361,179,12,3,8,4,3,1861,2.23,4,0,2025-07-19
362,93,6,1,6,3,2,555,2.31,3,0,2025-09-10
363,61,4,4,3,3,4,2173,1.92,3,0,2025-10-17
364,131,9,2,3,4,4,93,0.66,1,1,2025-09-15
365,337,23,4,7,4,1,1802,4.02,1,0,2025-10-16
366,226,15,4,5,1,3,1871,4.54,2,1,2025-09-21
367,2,1,4,1,2,4,1679,4.18,3,1,2025-09-01
368,275,19,5,8,3,3,265,3.58,3,0,2025-07-02
369,100,7,1,1,4,1,1054,0.87,3,1,2025-09-13
370,394,27,1,1,4,3,2230,2.39,2,0,2025-10-22
371,154,10,1,8,1,4,789,4.07,1,1,2025-10-09
372,45,3,2,1,4,3,1024,2.98,3,1,2025-07-31
373,131,9,2,5,3,3,67,4.29,2,1,2025-09-01
374,156,10,1,5,5,2,1453,3.59,1,0,2025-10-27
375,437,30,2,7,2,1,113,4.6,4,0,2025-10-19
376,169,11,2,8,1,4,2569,0.57,4,1,2025-10-26
377,52,4,4,6,5,1,2766,0.74,3,1,2025-08-10
378,17,2,4,6,3,3,2353,3.0,2,0,2025-08-02
379,186,12,3,2,2,2,2830,3.64,2,1,2025-09-18
380,143,10,1,3,4,4,2243,4.31,2,1,2025-07-31
381,207,14,4,4,3,4,2836,0.29,4,0,2025-09-05
382,271,18,5,3,5,1,959,0.56,3,1,2025-09-11
383,361,25,2,8,1,4,84,1.67,4,0,2025-08-06
384,205,14,4,8,4,3,1634,2.61,3,0,2025-09-15
385,327,22,1,2,3,1,561,2.32,4,0,2025-10-19
386,216,15,4,5,2,4,2678,0.14,2,0,2025-09-25
387,184,12,3,7,4,2,2322,2.13,2,0,2025-10-16
388,223,15,4,1,4,2,1297,4.21,3,1,2025-07-17
389,188,13,5,6,5,1,1364,2.73,3,0,2025-07-26
390,59,4,4,7,1,2,925,0.57,1,0,2025-09-22
391,301,20,1,2,1,2,897,2.72,4,0,2025-08-02
392,40,3,2,6,5,2,2702,2.51,4,0,2025-10-23
393,107,7,1,7,1,4,165,2.93,3,0,2025-10-27
394,119,8,4,6,4,2,2166,1.36,3,0,2025-07-10
395,45,3,2,7,5,4,64,3.22,4,0,2025-09-25
396,323,22,1,2,3,4,2768,3.11,2,1,2025-07-21
397,395,27,1,2,1,4,407,4.68,1,1,2025-07-26
398,350,24,4,7,2,1,2002,1.7,3,1,2025-08-31
399,58,4,4,7,4,1,2826,3.42,2,0,2025-09-09
400,317,22,1,6,2,2,1277,4.89,3,0,2025-08-24
401,15,1,4,2,2,3,2077,1.49,1,0,2025-09-06
402,61,4,4,4,1,3,2616,4.52,3,1,2025-09-15
403,189,13,5,5,2,3,1027,1.25,2,1,2025-07-04
404,10,1,4,8,5,2,910,4.92,1,0,2025-08-14
405,366,25,2,4,2,2,983,3.86,3,0,2025-08-25
406,246,17,3,5,2,3,1592,2.34,4,0,2025-08-30
407,436,30,2,6,3,3,844,1.43,2,0,2025-08-19
408,302,20,1,6,3,2,1934,2.53,4,0,2025-10-09
409,328,23,4,6,5,2,2229,2.11,4,1,2025-07-27
410,292,20,1,2,5,3,869,4.02,2,1,2025-08-12
411,115,8,4,6,1,2,2464,3.57,3,0,2025-07-17
412,430,30,2,3,5,3,2122,2.85,4,0,2025-09-30
413,69,5,1,7,2,1,981,3.72,1,1,2025-07-09
414,59,4,4,8,5,1,1814,2.67,3,1,2025-08-18
415,179,12,3,7,2,3,1138,4.74,4,1,2025-10-18
416,23,2,4,7,1,3,124,3.83,3,1,2025-10-11
417,32,3,2,5,2,2,1243,2.53,3,0,2025-09-05
418,230,16,5,4,4,2,456,3.99,3,0,2025-07-21
419,339,23,4,4,4,2,733,4.57,3,0,2025-07-16
420,107,7,1,6,2,3,741,2.38,3,0,2025-07-09
421,254,17,3,8,2,3,2024,0.79,1,0,2025-10-18
422,188,13,5,7,2,2,1967,3.86,3,0,2025-07-10
423,443,30,2,3,5,3,2336,4.32,3,1,2025-08-04
424,105,7,1,1,5,2,1466,1.55,3,0,2025-09-29
425,326,22,1,8,3,1,2204,2.71,1,0,2025-10-14
426,183,12,3,8,4,3,2706,3.67,3,0,2025-09-02
427,101,7,1,1,4,3,1218,1.02,1,0,2025-07-06
428,400,28,2,5,1,4,2491,0.72,4,0,2025-09-29
429,73,5,1,5,4,4,1962,1.71,3,1,2025-09-05
430,103,7,1,3,1,3,1998,4.8,1,1,2025-10-26
431,39,3,2,1,5,3,1144,0.43,3,0,2025-10-06
432,289,19,5,7,5,1,600,2.88,1,1,2025-08-12
433,102,7,1,8,4,4,223,1.89,2,0,2025-08-21
434,216,15,4,7,5,1,1838,2.25,1,0,2025-10-20
435,48,4,4,6,1,1,732,1.94,4,0,2025-07-24
436,147,10,1,6,5,2,2647,1.19,1,0,2025-07-01
437,217,15,4,1,1,2,1146,2.38,1,0,2025-09-03
